icon	monster_id	prompt
wl_cinder_pup_1	cinder_pup_1	Mobile RPG monster icon, small cute chibi juvenile puppy with a burning cinder mane, aggressive lunging stance, ember orange and deep red palette, plain dark ember red background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_ash_boar_1	ash_boar_1	Mobile RPG monster icon, small cute chibi juvenile sturdy boar with ash-grey bristles and glowing cracks, braced defensive stance, ember orange and deep red palette, plain dark ember red background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_ash_boar_2	ash_boar_2	Mobile RPG monster icon, grown adolescent, larger and sharper sturdy boar with ash-grey bristles and glowing cracks, braced defensive stance, ember orange and deep red palette, plain dark ember red background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_flare_hawk_1	flare_hawk_1	Mobile RPG monster icon, small cute chibi juvenile hawk with wings of searing flare light, aggressive lunging stance, ember orange and deep red palette, plain dark ember red background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_magma_crab_1	magma_crab_1	Mobile RPG monster icon, small cute chibi juvenile crab with a shell of cooled magma and molten seams, braced defensive stance, ember orange and deep red palette, plain dark ember red background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_magma_crab_2	magma_crab_2	Mobile RPG monster icon, grown adolescent, larger and sharper crab with a shell of cooled magma and molten seams, braced defensive stance, ember orange and deep red palette, plain dark ember red background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_pyre_lion_1	pyre_lion_1	Mobile RPG monster icon, small cute chibi juvenile lion with a mane of roaring pyre fire, aggressive lunging stance, ember orange and deep red palette, plain dark ember red background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_tide_serpent_1	tide_serpent_1	Mobile RPG monster icon, small cute chibi juvenile sea serpent with rippling water scales, poised graceful stance, aqua blue and teal palette, plain deep ocean blue background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_tide_serpent_2	tide_serpent_2	Mobile RPG monster icon, grown adolescent, larger and sharper sea serpent with rippling water scales, poised graceful stance, aqua blue and teal palette, plain deep ocean blue background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_tide_serpent_3	tide_serpent_3	Mobile RPG monster icon, mighty awakened elder form, imposing and ornate sea serpent with rippling water scales, poised graceful stance, aqua blue and teal palette, plain deep ocean blue background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_dew_slug_1	dew_slug_1	Mobile RPG monster icon, small cute chibi juvenile snail with a dewdrop shell, calm protective stance, aqua blue and teal palette, plain deep ocean blue background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_reef_turtle_1	reef_turtle_1	Mobile RPG monster icon, small cute chibi juvenile turtle with a coral reef growing on its shell, braced defensive stance, aqua blue and teal palette, plain deep ocean blue background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_reef_turtle_2	reef_turtle_2	Mobile RPG monster icon, grown adolescent, larger and sharper turtle with a coral reef growing on its shell, braced defensive stance, aqua blue and teal palette, plain deep ocean blue background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_mist_ray_1	mist_ray_1	Mobile RPG monster icon, small cute chibi juvenile manta ray gliding through mist, poised graceful stance, aqua blue and teal palette, plain deep ocean blue background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_brine_otter_1	brine_otter_1	Mobile RPG monster icon, small cute chibi juvenile otter with salt crystals in its wet fur, aggressive lunging stance, aqua blue and teal palette, plain deep ocean blue background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_brine_otter_2	brine_otter_2	Mobile RPG monster icon, grown adolescent, larger and sharper otter with salt crystals in its wet fur, aggressive lunging stance, aqua blue and teal palette, plain deep ocean blue background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_abyss_whale_1	abyss_whale_1	Mobile RPG monster icon, small cute chibi juvenile small whale of the deep abyss with faint lights, braced defensive stance, aqua blue and teal palette, plain deep ocean blue background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_spark_mouse_1	spark_mouse_1	Mobile RPG monster icon, small cute chibi juvenile mouse crackling with static sparks, aggressive lunging stance, electric yellow with violet sparks palette, plain dark indigo background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_bolt_lynx_1	bolt_lynx_1	Mobile RPG monster icon, small cute chibi juvenile lynx with lightning-bolt markings, aggressive lunging stance, electric yellow with violet sparks palette, plain dark indigo background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_bolt_lynx_2	bolt_lynx_2	Mobile RPG monster icon, grown adolescent, larger and sharper lynx with lightning-bolt markings, aggressive lunging stance, electric yellow with violet sparks palette, plain dark indigo background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_bolt_lynx_3	bolt_lynx_3	Mobile RPG monster icon, mighty awakened elder form, imposing and ornate lynx with lightning-bolt markings, aggressive lunging stance, electric yellow with violet sparks palette, plain dark indigo background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_coil_snake_1	coil_snake_1	Mobile RPG monster icon, small cute chibi juvenile snake coiled into a spiral with arcing current, poised graceful stance, electric yellow with violet sparks palette, plain dark indigo background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_coil_snake_2	coil_snake_2	Mobile RPG monster icon, grown adolescent, larger and sharper snake coiled into a spiral with arcing current, poised graceful stance, electric yellow with violet sparks palette, plain dark indigo background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_storm_crane_1	storm_crane_1	Mobile RPG monster icon, small cute chibi juvenile crane with storm clouds around its wings, poised graceful stance, electric yellow with violet sparks palette, plain dark indigo background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_storm_crane_2	storm_crane_2	Mobile RPG monster icon, grown adolescent, larger and sharper crane with storm clouds around its wings, poised graceful stance, electric yellow with violet sparks palette, plain dark indigo background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_volt_golem_1	volt_golem_1	Mobile RPG monster icon, small cute chibi juvenile small stone golem with glowing voltage veins, braced defensive stance, electric yellow with violet sparks palette, plain dark indigo background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_thunder_stag_1	thunder_stag_1	Mobile RPG monster icon, small cute chibi juvenile stag with antlers of forked lightning, aggressive lunging stance, electric yellow with violet sparks palette, plain dark indigo background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_shade_bat_1	shade_bat_1	Mobile RPG monster icon, small cute chibi juvenile bat wrapped in soft shadow, poised graceful stance, violet and charcoal palette with faint purple glow, plain dark violet background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_dusk_weasel_1	dusk_weasel_1	Mobile RPG monster icon, small cute chibi juvenile weasel with dusk-purple fur, aggressive lunging stance, violet and charcoal palette with faint purple glow, plain dark violet background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_dusk_weasel_2	dusk_weasel_2	Mobile RPG monster icon, grown adolescent, larger and sharper weasel with dusk-purple fur, aggressive lunging stance, violet and charcoal palette with faint purple glow, plain dark violet background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_gloom_spider_1	gloom_spider_1	Mobile RPG monster icon, small cute chibi juvenile spider with a gloom-silk web pattern, poised graceful stance, violet and charcoal palette with faint purple glow, plain dark violet background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_gloom_spider_2	gloom_spider_2	Mobile RPG monster icon, grown adolescent, larger and sharper spider with a gloom-silk web pattern, poised graceful stance, violet and charcoal palette with faint purple glow, plain dark violet background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_gloom_spider_3	gloom_spider_3	Mobile RPG monster icon, mighty awakened elder form, imposing and ornate spider with a gloom-silk web pattern, poised graceful stance, violet and charcoal palette with faint purple glow, plain dark violet background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_night_hound_1	night_hound_1	Mobile RPG monster icon, small cute chibi juvenile hound of the night with faint violet eyes, braced defensive stance, violet and charcoal palette with faint purple glow, plain dark violet background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_night_hound_2	night_hound_2	Mobile RPG monster icon, grown adolescent, larger and sharper hound of the night with faint violet eyes, braced defensive stance, violet and charcoal palette with faint purple glow, plain dark violet background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_umbra_owl_1	umbra_owl_1	Mobile RPG monster icon, small cute chibi juvenile owl with feathers of layered shadow, calm protective stance, violet and charcoal palette with faint purple glow, plain dark violet background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_umbra_owl_2	umbra_owl_2	Mobile RPG monster icon, grown adolescent, larger and sharper owl with feathers of layered shadow, calm protective stance, violet and charcoal palette with faint purple glow, plain dark violet background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_void_seraph_1	void_seraph_1	Mobile RPG monster icon, small cute chibi juvenile winged being of void light with many feathers, aggressive lunging stance, violet and charcoal palette with faint purple glow, plain dark violet background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_void_seraph_2	void_seraph_2	Mobile RPG monster icon, grown adolescent, larger and sharper winged being of void light with many feathers, aggressive lunging stance, violet and charcoal palette with faint purple glow, plain dark violet background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
wl_void_seraph_3	void_seraph_3	Mobile RPG monster icon, mighty awakened elder form, imposing and ornate winged being of void light with many feathers, aggressive lunging stance, violet and charcoal palette with faint purple glow, plain dark violet background, front three-quarter view, centered full body, flat vector game art, thick dark outline, soft cel shading, clean and readable at small size, no text, no border, no frame
