:table Monster	종의 한 단계이다. 같은 종의 1단과 2단은 다른 행이다.
:field	monster_id	*display_code	species_id	stage	name	description	element	grade	role	base.hp	base.attack	base.defense	base.speed	base.crit_rate	base.crit_power	habitat	max_stage	icon	model_offset	tags	#old_grade	#
:type	string	string (regex="^[a-z]{2}[0-9]{3}$")	string	int (min=1, max=3)	string (text=Monster)	string (text=Monster, namespace=Codex)	Element	Grade	Role	StatBlock						bitset	int (min=1, max=3)	string (asset=icon)	vec3f?	string[]
	mist_ray_1	td007	mist_ray	1	안개가오리	소금해안에 서식하는 물결 와일드링이다.	Tide	Rare	Tuner	345	51	25	54	600	15000	0b00110	1	wl_mist_ray_1	-	물결;오리;초기형
	brine_otter_1	td008	brine_otter	1	소금수달	소금해안에 서식하는 물결 와일드링이다.	Tide	Rare	Breaker	322	71	21	58	800	17000	0b00110	2	wl_brine_otter_1	-	물결;수달;초기형
	brine_otter_2	td009	brine_otter	2	물살수달	소금해안에 서식하는 물결 와일드링이다.	Tide	Rare	Breaker	580	128	37	64	800	17000	0b00110	2	wl_brine_otter_2	(0,0.2,0)	물결;수달
	abyss_whale_1	td010	abyss_whale	1	심연고래	소금해안에 서식하는 물결 와일드링이다.	Tide	Legendary	Vanguard	638	58	49	44	500	15000	0b00010	1	wl_abyss_whale_1	-	물결;고래;초기형
	spark_mouse_1	ar001	spark_mouse	1	스파크쥐	서릿능선에 서식하는 번개 와일드링이다.	Arc	Common	Breaker	263	58	17	58	800	17000	0b11000	1	wl_spark_mouse_1	-	번개;크쥐;초기형
	bolt_lynx_1	ar002	bolt_lynx	1	스파크살쾡이	서릿능선에 서식하는 번개 와일드링이다.	Arc	Rare	Breaker	303	67	19	58	800	17000	0b11000	3	wl_bolt_lynx_1	-	번개;쾡이;초기형
	bolt_lynx_2	ar003	bolt_lynx	2	번개살쾡이	서릿능선에 서식하는 번개 와일드링이다.	Arc	Rare	Breaker	545	121	35	64	800	17000	0b11000	3	wl_bolt_lynx_2	-	번개;쾡이
	bolt_lynx_3	ar004	bolt_lynx	3	뇌전살쾡이	서릿능선에 서식하는 번개 와일드링이다.	Arc	Rare	Breaker	959	212	62	70	800	17000	0b11000	3	wl_bolt_lynx_3	(0,0.2,0)	번개;쾡이
	coil_snake_1	ar005	coil_snake	1	감김뱀	서릿능선에 서식하는 번개 와일드링이다.	Arc	Rare	Tuner	324	48	24	54	600	15000	0b11000	2	wl_coil_snake_1	-	번개;김뱀;초기형
	coil_snake_2	ar006	coil_snake	2	나선뱀	서릿능선에 서식하는 번개 와일드링이다.	Arc	Rare	Tuner	584	86	43	60	600	15000	0b11000	2	wl_coil_snake_2	(0,0.2,0)	번개;선뱀
	storm_crane_1	ar007	storm_crane	1	폭풍두루미	서릿능선에 서식하는 번개 와일드링이다.	Arc	Epic	Tuner	372	55	27	54	600	15000	0b01000	2	wl_storm_crane_1	-	번개;루미;초기형
	storm_crane_2	ar008	storm_crane	2	뇌운두루미	서릿능선에 서식하는 번개 와일드링이다.	Arc	Epic	Tuner	670	98	49	60	600	15000	0b01000	2	wl_storm_crane_2	(0,0.2,0)	번개;루미
	volt_golem_1	ar009	volt_golem	1	전압골렘	서릿능선에 서식하는 번개 와일드링이다.	Arc	Epic	Vanguard	521	47	40	44	500	15000	0b01000	1	wl_volt_golem_1	-	번개;골렘;초기형
	thunder_stag_1	ar010	thunder_stag	1	우레사슴	서릿능선에 서식하는 번개 와일드링이다.	Arc	Legendary	Breaker	400	89	26	58	800	17000	0b01000	1	wl_thunder_stag_1	-	번개;사슴;초기형
	shade_bat_1	um001	shade_bat	1	그림자박쥐	잠긴 신전에 서식하는 그늘 와일드링이다.	Umbra	Common	Tuner	270	40	20	54	600	15000	0b10001	1	wl_shade_bat_1	-	그늘;박쥐;초기형
	dusk_weasel_1	um002	dusk_weasel	1	해거름족제비	잠긴 신전에 서식하는 그늘 와일드링이다.	Umbra	Rare	Breaker	290	64	19	58	800	17000	0b10001	2	wl_dusk_weasel_1	-	그늘;제비;초기형
	dusk_weasel_2	um003	dusk_weasel	2	밤그늘족제비	잠긴 신전에 서식하는 그늘 와일드링이다.	Umbra	Rare	Breaker	522	116	34	64	800	17000	0b10001	2	wl_dusk_weasel_2	(0,0.2,0)	그늘;제비
	gloom_spider_1	um004	gloom_spider	1	그늘거미	잠긴 신전에 서식하는 그늘 와일드링이다.	Umbra	Rare	Tuner	310	46	23	54	600	15000	0b10001	3	wl_gloom_spider_1	-	그늘;거미;초기형
	gloom_spider_2	um005	gloom_spider	2	어스름거미	잠긴 신전에 서식하는 그늘 와일드링이다.	Umbra	Rare	Tuner	559	82	41	60	600	15000	0b10001	3	wl_gloom_spider_2	-	그늘;거미
	gloom_spider_3	um006	gloom_spider	3	심연거미	잠긴 신전에 서식하는 그늘 와일드링이다.	Umbra	Rare	Tuner	984	144	72	66	600	15000	0b10001	3	wl_gloom_spider_3	(0,0.2,0)	그늘;거미
	night_hound_1	um007	night_hound	1	밤사냥개	잠긴 신전에 서식하는 그늘 와일드링이다.	Umbra	Epic	Vanguard	499	45	38	44	500	15000	0b10000	2	wl_night_hound_1	-	그늘;냥개;초기형
	night_hound_2	um008	night_hound	2	흑야사냥개	잠긴 신전에 서식하는 그늘 와일드링이다.	Umbra	Epic	Vanguard	898	81	68	50	500	15000	0b10000	2	wl_night_hound_2	(0,0.2,0)	그늘;냥개
	umbra_owl_1	um009	umbra_owl	1	그늘부엉이	잠긴 신전에 서식하는 그늘 와일드링이다.	Umbra	Legendary	Warden	465	47	36	50	500	15000	0b10000	2	wl_umbra_owl_1	-	그늘;엉이;초기형
	umbra_owl_2	um010	umbra_owl	2	달그늘부엉이	잠긴 신전에 서식하는 그늘 와일드링이다.	Umbra	Legendary	Warden	837	84	64	56	500	15000	0b10000	2	wl_umbra_owl_2	(0,0.2,0)	그늘;엉이
	void_seraph_1	um011	void_seraph	1	공허날개	잠긴 신전에 서식하는 그늘 와일드링이다.	Umbra	Mythic	Breaker	441	98	28	58	800	17000	0b10000	3	wl_void_seraph_1	-	그늘;날개;초기형
	void_seraph_2	um012	void_seraph	2	무광날개	잠긴 신전에 서식하는 그늘 와일드링이다.	Umbra	Mythic	Breaker	794	176	51	64	800	17000	0b10000	3	wl_void_seraph_2	-	그늘;날개
	void_seraph_3	um013	void_seraph	3	종막날개	잠긴 신전에 서식하는 그늘 와일드링이다.	Umbra	Mythic	Breaker	1398	310	90	70	800	17000	0b10000	3	wl_void_seraph_3	(0,0.2,0)	그늘;날개
