:table GrowthCurve(key="grade,level")	등급과 레벨별 능력치 배수와 소모 재화이다.
:field	grade	level	hp_factor	attack_factor	defense_factor	bonus_factor	costs[0].currency_id	costs[0].amount	costs[1].currency_id	costs[1].amount
	Rare	8	20752	18960	18064	-	gold	1408	food	4
	Rare	9	22288	20240	19216	-	gold	1782	food	5
	Rare	10	23824	21520	20368	2000	gold	2200	food	5
	Rare	11	25360	22800	21520	-	gold	2662	food	5
	Rare	12	26896	24080	22672	-	gold	3168	food	6
	Rare	13	28432	25360	23824	-	gold	3718	food	6
	Rare	14	29968	26640	24976	-	gold	4312	food	6
	Rare	15	31504	27920	26128	-	gold	4950	food	7
	Rare	16	33040	29200	27280	-	gold	5632	food	7
	Rare	17	34576	30480	28432	-	gold	6358	food	7
	Rare	18	36112	31760	29584	-	gold	7128	food	8
	Rare	19	37648	33040	30736	-	gold	7942	food	8
	Rare	20	39184	34320	31888	2000	gold	8800	food	8
	Rare	21	40720	35600	33040	-	gold	9702	food	9
	Rare	22	42256	36880	34192	-	gold	10648	food	9
	Rare	23	43792	38160	35344	-	gold	11638	food	9
	Rare	24	45328	39440	36496	-	gold	12672	food	10
	Rare	25	46864	40720	37648	-	gold	13750	food	10
	Rare	26	48400	42000	38800	-	gold	14872	food	10
	Rare	27	49936	43280	39952	-	gold	16038	food	11
	Rare	28	51472	44560	41104	-	gold	17248	food	11
	Rare	29	53008	45840	42256	-	gold	18502	food	11
	Rare	30	54544	47120	43408	2000	gold	19800	food	12
	Rare	31	56080	48400	44560	-	gold	21142	food	12
	Rare	32	57616	49680	45712	-	gold	22528	food	12
	Rare	33	59152	50960	46864	-	gold	23958	food	13
	Rare	34	60688	52240	48016	-	gold	25432	food	13
	Rare	35	62224	53520	49168	-	gold	26950	food	13
	Rare	36	63760	54800	50320	-	gold	28512	food	14
	Rare	37	65296	56080	51472	-	gold	30118	food	14
	Rare	38	66832	57360	52624	-	gold	31768	food	14
	Rare	39	68368	58640	53776	-	gold	33462	food	15
	Rare	40	69904	59920	54928	2000	gold	35200	food	15
	Rare	41	71440	61200	56080	-	gold	36982	food	15
	Rare	42	72976	62480	57232	-	gold	38808	food	16
	Rare	43	74512	63760	58384	-	gold	40678	food	16
	Rare	44	76048	65040	59536	-	gold	42592	food	16
	Rare	45	77584	66320	60688	-	gold	44550	food	17
	Rare	46	79120	67600	61840	-	gold	46552	food	17
	Rare	47	80656	68880	62992	-	gold	48598	food	17
	Rare	48	82192	70160	64144	-	gold	50688	food	18
	Rare	49	83728	71440	65296	-	gold	52822	food	18
	Rare	50	85264	72720	66448	2000	gold	55000	food	18
	Rare	51	86800	74000	67600	-	gold	57222	food	19
	Rare	52	88336	75280	68752	-	gold	59488	food	19
	Rare	53	89872	76560	69904	-	gold	61798	food	19
	Rare	54	91408	77840	71056	-	gold	64152	food	20
	Rare	55	92944	79120	72208	-	gold	66550	food	20
	Rare	56	94480	80400	73360	-	gold	68992	food	20
	Rare	57	96016	81680	74512	-	gold	71478	food	21
	Rare	58	97552	82960	75664	-	gold	74008	food	21
	Rare	59	99088	84240	76816	-	gold	76582	food	21
	Rare	60	100624	85520	77968	2000	gold	79200	food	22
	Rare	61	102160	86800	79120	-	gold	81862	food	22
	Rare	62	103696	88080	80272	-	gold	84568	food	22
	Rare	63	105232	89360	81424	-	gold	87318	food	23
	Rare	64	106768	90640	82576	-	gold	90112	food	23
	Rare	65	108304	91920	83728	-	gold	92950	food	23
	Rare	66	109840	93200	84880	-	gold	95832	food	24
	Rare	67	111376	94480	86032	-	gold	98758	food	24
	Rare	68	112912	95760	87184	-	gold	101728	food	24
	Rare	69	114448	97040	88336	-	gold	104742	food	25
	Rare	70	115984	98320	89488	2000	gold	107800	food	25
	Epic	1	10000	10000	10000	-	gold	22	food	2
	Epic	2	11680	11400	11260	-	gold	88	food	2
	Epic	3	13360	12800	12520	-	gold	198	food	3
	Epic	4	15040	14200	13780	-	gold	352	food	3
	Epic	5	16720	15600	15040	-	gold	550	food	3
	Epic	6	18400	17000	16300	-	gold	792	food	4
	Epic	7	20080	18400	17560	-	gold	1078	food	4
	Epic	8	21760	19800	18820	-	gold	1408	food	4
	Epic	9	23440	21200	20080	-	gold	1782	food	5
	Epic	10	25120	22600	21340	2000	gold	2200	food	5
	Epic	11	26800	24000	22600	-	gold	2662	food	5
	Epic	12	28480	25400	23860	-	gold	3168	food	6
	Epic	13	30160	26800	25120	-	gold	3718	food	6
	Epic	14	31840	28200	26380	-	gold	4312	food	6
	Epic	15	33520	29600	27640	-	gold	4950	food	7
	Epic	16	35200	31000	28900	-	gold	5632	food	7
	Epic	17	36880	32400	30160	-	gold	6358	food	7
	Epic	18	38560	33800	31420	-	gold	7128	food	8
	Epic	19	40240	35200	32680	-	gold	7942	food	8
	Epic	20	41920	36600	33940	2000	gold	8800	food	8
	Epic	21	43600	38000	35200	-	gold	9702	food	9
	Epic	22	45280	39400	36460	-	gold	10648	food	9
	Epic	23	46960	40800	37720	-	gold	11638	food	9
	Epic	24	48640	42200	38980	-	gold	12672	food	10
	Epic	25	50320	43600	40240	-	gold	13750	food	10
	Epic	26	52000	45000	41500	-	gold	14872	food	10
	Epic	27	53680	46400	42760	-	gold	16038	food	11
	Epic	28	55360	47800	44020	-	gold	17248	food	11
	Epic	29	57040	49200	45280	-	gold	18502	food	11
	Epic	30	58720	50600	46540	2000	gold	19800	food	12
	Epic	31	60400	52000	47800	-	gold	21142	food	12
	Epic	32	62080	53400	49060	-	gold	22528	food	12
	Epic	33	63760	54800	50320	-	gold	23958	food	13
	Epic	34	65440	56200	51580	-	gold	25432	food	13
	Epic	35	67120	57600	52840	-	gold	26950	food	13
	Epic	36	68800	59000	54100	-	gold	28512	food	14
	Epic	37	70480	60400	55360	-	gold	30118	food	14
	Epic	38	72160	61800	56620	-	gold	31768	food	14
	Epic	39	73840	63200	57880	-	gold	33462	food	15
	Epic	40	75520	64600	59140	2000	gold	35200	food	15
	Epic	41	77200	66000	60400	-	gold	36982	food	15
	Epic	42	78880	67400	61660	-	gold	38808	food	16
	Epic	43	80560	68800	62920	-	gold	40678	food	16
	Epic	44	82240	70200	64180	-	gold	42592	food	16
	Epic	45	83920	71600	65440	-	gold	44550	food	17
	Epic	46	85600	73000	66700	-	gold	46552	food	17
	Epic	47	87280	74400	67960	-	gold	48598	food	17
	Epic	48	88960	75800	69220	-	gold	50688	food	18
	Epic	49	90640	77200	70480	-	gold	52822	food	18
	Epic	50	92320	78600	71740	2000	gold	55000	food	18
	Epic	51	94000	80000	73000	-	gold	57222	food	19
	Epic	52	95680	81400	74260	-	gold	59488	food	19
	Epic	53	97360	82800	75520	-	gold	61798	food	19
	Epic	54	99040	84200	76780	-	gold	64152	food	20
	Epic	55	100720	85600	78040	-	gold	66550	food	20
	Epic	56	102400	87000	79300	-	gold	68992	food	20
	Epic	57	104080	88400	80560	-	gold	71478	food	21
	Epic	58	105760	89800	81820	-	gold	74008	food	21
	Epic	59	107440	91200	83080	-	gold	76582	food	21
	Epic	60	109120	92600	84340	2000	gold	79200	food	22
	Epic	61	110800	94000	85600	-	gold	81862	food	22
	Epic	62	112480	95400	86860	-	gold	84568	food	22
	Epic	63	114160	96800	88120	-	gold	87318	food	23
	Epic	64	115840	98200	89380	-	gold	90112	food	23
	Epic	65	117520	99600	90640	-	gold	92950	food	23
	Epic	66	119200	101000	91900	-	gold	95832	food	24
	Epic	67	120880	102400	93160	-	gold	98758	food	24
	Epic	68	122560	103800	94420	-	gold	101728	food	24
	Epic	69	124240	105200	95680	-	gold	104742	food	25
	Epic	70	125920	106600	96940	2000	gold	107800	food	25
	Legendary	1	10000	10000	10000	-	gold	22	food	2
	Legendary	2	11848	11540	11386	-	gold	88	food	2
	Legendary	3	13696	13080	12772	-	gold	198	food	3
	Legendary	4	15544	14620	14158	-	gold	352	food	3
	Legendary	5	17392	16160	15544	-	gold	550	food	3
	Legendary	6	19240	17700	16930	-	gold	792	food	4
	Legendary	7	21088	19240	18316	-	gold	1078	food	4
	Legendary	8	22936	20780	19702	-	gold	1408	food	4
	Legendary	9	24784	22320	21088	-	gold	1782	food	5
	Legendary	10	26632	23860	22474	2000	gold	2200	food	5
	Legendary	11	28480	25400	23860	-	gold	2662	food	5
	Legendary	12	30328	26940	25246	-	gold	3168	food	6
	Legendary	13	32176	28480	26632	-	gold	3718	food	6
	Legendary	14	34024	30020	28018	-	gold	4312	food	6
	Legendary	15	35872	31560	29404	-	gold	4950	food	7
	Legendary	16	37720	33100	30790	-	gold	5632	food	7
	Legendary	17	39568	34640	32176	-	gold	6358	food	7
	Legendary	18	41416	36180	33562	-	gold	7128	food	8
	Legendary	19	43264	37720	34948	-	gold	7942	food	8
	Legendary	20	45112	39260	36334	2000	gold	8800	food	8
	Legendary	21	46960	40800	37720	-	gold	9702	food	9
	Legendary	22	48808	42340	39106	-	gold	10648	food	9
	Legendary	23	50656	43880	40492	-	gold	11638	food	9
	Legendary	24	52504	45420	41878	-	gold	12672	food	10
	Legendary	25	54352	46960	43264	-	gold	13750	food	10
	Legendary	26	56200	48500	44650	-	gold	14872	food	10
	Legendary	27	58048	50040	46036	-	gold	16038	food	11
	Legendary	28	59896	51580	47422	-	gold	17248	food	11
	Legendary	29	61744	53120	48808	-	gold	18502	food	11
	Legendary	30	63592	54660	50194	2000	gold	19800	food	12
	Legendary	31	65440	56200	51580	-	gold	21142	food	12
	Legendary	32	67288	57740	52966	-	gold	22528	food	12
	Legendary	33	69136	59280	54352	-	gold	23958	food	13
	Legendary	34	70984	60820	55738	-	gold	25432	food	13
	Legendary	35	72832	62360	57124	-	gold	26950	food	13
	Legendary	36	74680	63900	58510	-	gold	28512	food	14
	Legendary	37	76528	65440	59896	-	gold	30118	food	14
	Legendary	38	78376	66980	61282	-	gold	31768	food	14
	Legendary	39	80224	68520	62668	-	gold	33462	food	15
	Legendary	40	82072	70060	64054	2000	gold	35200	food	15
	Legendary	41	83920	71600	65440	-	gold	36982	food	15
	Legendary	42	85768	73140	66826	-	gold	38808	food	16
	Legendary	43	87616	74680	68212	-	gold	40678	food	16
	Legendary	44	89464	76220	69598	-	gold	42592	food	16
	Legendary	45	91312	77760	70984	-	gold	44550	food	17
	Legendary	46	93160	79300	72370	-	gold	46552	food	17
	Legendary	47	95008	80840	73756	-	gold	48598	food	17
	Legendary	48	96856	82380	75142	-	gold	50688	food	18
	Legendary	49	98704	83920	76528	-	gold	52822	food	18
	Legendary	50	100552	85460	77914	2000	gold	55000	food	18
	Legendary	51	102400	87000	79300	-	gold	57222	food	19
	Legendary	52	104248	88540	80686	-	gold	59488	food	19
	Legendary	53	106096	90080	82072	-	gold	61798	food	19
	Legendary	54	107944	91620	83458	-	gold	64152	food	20
	Legendary	55	109792	93160	84844	-	gold	66550	food	20
	Legendary	56	111640	94700	86230	-	gold	68992	food	20
	Legendary	57	113488	96240	87616	-	gold	71478	food	21
	Legendary	58	115336	97780	89002	-	gold	74008	food	21
	Legendary	59	117184	99320	90388	-	gold	76582	food	21
	Legendary	60	119032	100860	91774	2000	gold	79200	food	22
	Legendary	61	120880	102400	93160	-	gold	81862	food	22
	Legendary	62	122728	103940	94546	-	gold	84568	food	22
	Legendary	63	124576	105480	95932	-	gold	87318	food	23
	Legendary	64	126424	107020	97318	-	gold	90112	food	23
	Legendary	65	128272	108560	98704	-	gold	92950	food	23
	Legendary	66	130120	110100	100090	-	gold	95832	food	24
	Legendary	67	131968	111640	101476	-	gold	98758	food	24
	Legendary	68	133816	113180	102862	-	gold	101728	food	24
	Legendary	69	135664	114720	104248	-	gold	104742	food	25
	Legendary	70	137512	116260	105634	2000	gold	107800	food	25
	Mythic	1	10000	10000	10000	-	gold	22	food	2
	Mythic	2	12040	11700	11530	-	gold	88	food	2
	Mythic	3	14080	13400	13060	-	gold	198	food	3
	Mythic	4	16120	15100	14590	-	gold	352	food	3
	Mythic	5	18160	16800	16120	-	gold	550	food	3
	Mythic	6	20200	18500	17650	-	gold	792	food	4
	Mythic	7	22240	20200	19180	-	gold	1078	food	4
	Mythic	8	24280	21900	20710	-	gold	1408	food	4
	Mythic	9	26320	23600	22240	-	gold	1782	food	5
	Mythic	10	28360	25300	23770	2000	gold	2200	food	5
	Mythic	11	30400	27000	25300	-	gold	2662	food	5
	Mythic	12	32440	28700	26830	-	gold	3168	food	6
	Mythic	13	34480	30400	28360	-	gold	3718	food	6
	Mythic	14	36520	32100	29890	-	gold	4312	food	6
	Mythic	15	38560	33800	31420	-	gold	4950	food	7
	Mythic	16	40600	35500	32950	-	gold	5632	food	7
	Mythic	17	42640	37200	34480	-	gold	6358	food	7
	Mythic	18	44680	38900	36010	-	gold	7128	food	8
	Mythic	19	46720	40600	37540	-	gold	7942	food	8
	Mythic	20	48760	42300	39070	2000	gold	8800	food	8
	Mythic	21	50800	44000	40600	-	gold	9702	food	9
	Mythic	22	52840	45700	42130	-	gold	10648	food	9
	Mythic	23	54880	47400	43660	-	gold	11638	food	9
	Mythic	24	56920	49100	45190	-	gold	12672	food	10
	Mythic	25	58960	50800	46720	-	gold	13750	food	10
	Mythic	26	61000	52500	48250	-	gold	14872	food	10
	Mythic	27	63040	54200	49780	-	gold	16038	food	11
	Mythic	28	65080	55900	51310	-	gold	17248	food	11
	Mythic	29	67120	57600	52840	-	gold	18502	food	11
	Mythic	30	69160	59300	54370	2000	gold	19800	food	12
	Mythic	31	71200	61000	55900	-	gold	21142	food	12
	Mythic	32	73240	62700	57430	-	gold	22528	food	12
	Mythic	33	75280	64400	58960	-	gold	23958	food	13
	Mythic	34	77320	66100	60490	-	gold	25432	food	13
	Mythic	35	79360	67800	62020	-	gold	26950	food	13
	Mythic	36	81400	69500	63550	-	gold	28512	food	14
	Mythic	37	83440	71200	65080	-	gold	30118	food	14
	Mythic	38	85480	72900	66610	-	gold	31768	food	14
	Mythic	39	87520	74600	68140	-	gold	33462	food	15
	Mythic	40	89560	76300	69670	2000	gold	35200	food	15
	Mythic	41	91600	78000	71200	-	gold	36982	food	15
	Mythic	42	93640	79700	72730	-	gold	38808	food	16
	Mythic	43	95680	81400	74260	-	gold	40678	food	16
	Mythic	44	97720	83100	75790	-	gold	42592	food	16
	Mythic	45	99760	84800	77320	-	gold	44550	food	17
	Mythic	46	101800	86500	78850	-	gold	46552	food	17
	Mythic	47	103840	88200	80380	-	gold	48598	food	17
	Mythic	48	105880	89900	81910	-	gold	50688	food	18
	Mythic	49	107920	91600	83440	-	gold	52822	food	18
	Mythic	50	109960	93300	84970	2000	gold	55000	food	18
	Mythic	51	112000	95000	86500	-	gold	57222	food	19
	Mythic	52	114040	96700	88030	-	gold	59488	food	19
	Mythic	53	116080	98400	89560	-	gold	61798	food	19
	Mythic	54	118120	100100	91090	-	gold	64152	food	20
	Mythic	55	120160	101800	92620	-	gold	66550	food	20
	Mythic	56	122200	103500	94150	-	gold	68992	food	20
	Mythic	57	124240	105200	95680	-	gold	71478	food	21
	Mythic	58	126280	106900	97210	-	gold	74008	food	21
	Mythic	59	128320	108600	98740	-	gold	76582	food	21
	Mythic	60	130360	110300	100270	2000	gold	79200	food	22
	Mythic	61	132400	112000	101800	-	gold	81862	food	22
	Mythic	62	134440	113700	103330	-	gold	84568	food	22
	Mythic	63	136480	115400	104860	-	gold	87318	food	23
	Mythic	64	138520	117100	106390	-	gold	90112	food	23
	Mythic	65	140560	118800	107920	-	gold	92950	food	23
	Mythic	66	142600	120500	109450	-	gold	95832	food	24
	Mythic	67	144640	122200	110980	-	gold	98758	food	24
	Mythic	68	146680	123900	112510	-	gold	101728	food	24
	Mythic	69	148720	125600	114040	-	gold	104742	food	25
	Mythic	70	150760	127300	115570	2000	gold	107800	food	25
