:table Joker(key=joker_id)	조커 한 종입니다. 효과는 `JokerEffect` 에 있고 여기에는 그 종의 성질만 있습니다.
:field	joker_id	rarity	cost	name	art	blueprint_ok	sort_order	pool	eternal_ok
	blank_mask	Common	4	빈 가면	blank_mask	true	39	Base	true
	green_shoot	Common	4	초록 싹	green_shoot	true	40	Base	true
	twin_state	Common	4	겹친 상태	twin_state	true	41	Base	true
	chore_list	Common	4	할 일 목록	chore_list	true	42	Base	true
	orchard_pear	Common	4	과수원 배	orchard_pear	true	43	Base	false
	red_ticket	Common	5	붉은 표	red_ticket	true	44	Base	true
	square_trellis	Common	4	네모 격자	square_trellis	true	45	Base	true
	rabble	Common	6	잡것들	rabble	true	46	Base	true
	tintype	Common	5	은판 사진	tintype	true	47	Base	true
	garden_bench	Common	6	정원 벤치	garden_bench	true	48	Base	true
	rebate_slip	Common	4	환급 전표	rebate_slip	true	49	Base	true
	daydream	Common	4	백일몽	daydream	true	50	Base	true
	palm_reader	Common	6	손금 읽는 이	palm_reader	true	51	Base	true
	spinner	Common	4	던지는 이	spinner	false	52	Base	true
	tippler	Common	4	한잔하는 이	tippler	false	53	Base	true
	gilt_coin	Common	6	금박 동전	gilt_coin	true	54	Base	true
	puffball	Common	5	먼지버섯	puffball	true	55	Base	false
	tin_horn	Common	4	양철 나팔	tin_horn	true	56	Base	true
	glad_mask	Common	4	웃는 가면	glad_mask	true	57	Base	true
	gilt_stub	Common	5	금박 표	gilt_stub	true	58	Base	true
	bramble_blade	Common	4	가시 칼	bramble_blade	true	59	Base	true
	moonshot	Common	5	달 겨눔	moonshot	true	60	Base	true
	torn_tab	Common	4	찢긴 쪽지	torn_tab	true	61	Base	true
	empty_frame	Uncommon	8	빈 액자	empty_frame	true	62	Base	true
	four_knuckles	Uncommon	7	네 마디	four_knuckles	false	63	Base	true
	mummer	Uncommon	5	무언극배우	mummer	true	64	Base	true
	pruning_shears	Uncommon	6	전정 가위	pruning_shears	true	65	Base	true
	pebble_jar	Uncommon	6	자갈 항아리	pebble_jar	true	66	Base	true
	punch_card	Uncommon	5	도장 카드	punch_card	true	67	Base	true
	twilight	Uncommon	5	해거름	twilight	true	68	Base	true
	spiral_shell	Uncommon	8	나선 껍질	spiral_shell	true	69	Base	true
	steel_trellis	Uncommon	7	강철 격자	steel_trellis	true	70	Base	true
	notch	Uncommon	6	눈금	notch	true	71	Base	true
	face_pattern	Uncommon	5	얼굴 무늬	face_pattern	false	72	Base	true
	comet_tail	Uncommon	5	혜성 꼬리	comet_tail	true	73	Base	true
	night_thief	Uncommon	6	밤손님	night_thief	true	74	Base	true
	slate_board	Uncommon	6	점판암 판	slate_board	true	75	Base	true
	hunch	Uncommon	6	예감	hunch	true	76	Base	true
	star_chart	Uncommon	6	별자리표	star_chart	true	77	Base	true
	wanderer	Uncommon	5	나그네	wanderer	true	78	Base	true
	sharper	Uncommon	6	타짜	sharper	true	79	Base	true
	fever	Uncommon	7	열병	fever	true	80	Base	true
	vigil	Uncommon	6	밤샘	vigil	true	81	Base	true
	leech_vine	Uncommon	7	거머리 덩굴	leech_vine	true	82	Base	true
	stepping_stone	Uncommon	7	디딤돌	stepping_stone	false	83	Base	true
	glass_ghost	Uncommon	7	유리 그림자	glass_ghost	true	84	Base	true
	ninth_cloud	Uncommon	7	아홉째 구름	ninth_cloud	true	85	Base	true
	sky_rocket	Uncommon	6	불화살	sky_rocket	true	86	Base	true
	gilt_mask	Uncommon	7	금박 가면	gilt_mask	true	87	Base	true
	ring_fighter	Uncommon	5	링의 투사	ring_fighter	false	88	Base	false
	gift_tag	Uncommon	6	선물 꼬리표	gift_tag	true	89	Base	true
	broad_bean	Uncommon	6	넓은 콩	broad_bean	true	90	Base	false
	washout	Uncommon	6	씻김	washout	true	91	Base	true
	moon_ladder	Uncommon	5	달 사다리	moon_ladder	false	92	Base	true
	cairn	Uncommon	6	돌무지	cairn	true	93	Base	true
	lucky_toad	Uncommon	6	복 두꺼비	lucky_toad	true	94	Base	true
	soda_cap	Uncommon	6	음료 뚜껑	soda_cap	false	95	Base	false
	swap_note	Uncommon	6	교환 쪽지	swap_note	true	96	Base	true
	flash_note	Uncommon	5	섬광 쪽지	flash_note	true	97	Base	true
	spare_gloves	Uncommon	6	여벌 장갑	spare_gloves	true	98	Base	true
	noodle_pot	Uncommon	6	국수 냄비	noodle_pot	true	99	Base	false
	fizz_bottle	Uncommon	6	탄산병	fizz_bottle	true	100	Base	false
	stone_keep	Uncommon	6	돌 성채	stone_keep	true	101	Base	true
	tumbler	Uncommon	6	곡예사	tumbler	true	102	Base	true
	two_masks	Uncommon	6	두 가면	two_masks	true	103	Base	true
	fiddler	Uncommon	6	악사	fiddler	false	104	Base	true
	deed_stamp	Uncommon	6	증서 도장	deed_stamp	true	105	Base	true
	smudged_pane	Uncommon	7	번진 유리	smudged_pane	false	106	Base	true
	old_route	Uncommon	6	옛 길	old_route	true	107	Base	true
	raw_gem	Uncommon	7	원석	raw_gem	true	108	Base	true
	heartstone	Uncommon	7	피돌	heartstone	true	109	Base	true
	arrow_flint	Uncommon	7	화살 부싯돌	arrow_flint	true	110	Base	true
	onyx_leaf	Uncommon	7	검은 잎	onyx_leaf	true	111	Base	true
	shard_jar	Uncommon	6	파편 항아리	shard_jar	true	112	Base	true
	barker	Uncommon	5	호객꾼	barker	false	113	Base	true
	four_beds	Uncommon	6	네 화단	four_beds	true	114	Base	true
	glad_fool	Uncommon	7	즐거운 광대	glad_fool	false	115	Base	true
	loaded_dice	Uncommon	4	납 주사위	loaded_dice	false	116	Base	true
	the_effigy	Uncommon	6	목각 인형	the_effigy	true	117	Base	true
	double_sight	Uncommon	6	겹보임	double_sight	true	118	Base	true
	bullfighter	Uncommon	7	투우사	bullfighter	true	119	Base	true
	orbit_dish	Uncommon	6	접시 안테나	orbit_dish	true	120	Base	true
	card_reader	Uncommon	6	카드 읽는 이	card_reader	true	121	Base	true
	stargazer	Uncommon	8	별 보는 이	stargazer	false	122	Base	true
	bootlace	Uncommon	7	구두끈	bootlace	true	123	Base	true
	ox_yoke	Uncommon	6	황소 멍에	ox_yoke	true	124	Base	true
	old_bones	Uncommon	5	낡은 뼈	old_bones	true	125	Base	false
	graft	Rare	8	접붙임	graft	true	126	Base	true
	drifter	Rare	8	떠돌이	drifter	true	127	Base	true
	steward	Rare	8	집사	steward	true	128	Base	true
	standing_stone	Rare	8	선돌	standing_stone	true	129	Base	true
	rookie_card	Rare	8	신인 카드	rookie_card	true	130	Base	true
	old_sigil	Rare	8	옛 인장	old_sigil	true	131	Base	true
	bonfire	Rare	9	모닥불	bonfire	true	132	Base	true
	tracing	Rare	10	덧그림	tracing	false	133	Base	true
	tiny_tot	Rare	8	꼬맹이	tiny_tot	true	134	Base	true
	open_road	Rare	8	열린 길	open_road	true	135	Base	true
	the_bond	Rare	8	맺음	the_bond	true	136	Base	true
	the_braid	Rare	8	세 갈래	the_braid	true	137	Base	true
	the_brood	Rare	8	한 배	the_brood	true	138	Base	true
	the_march	Rare	8	행렬	the_march	true	139	Base	true
	the_flock	Rare	8	무리	the_flock	true	140	Base	true
	deadweight	Rare	7	짐덩이	deadweight	true	141	Base	true
	faint_outline	Rare	8	희미한 윤곽	faint_outline	false	142	Base	false
	mirror_note	Rare	10	거울 쪽지	mirror_note	false	143	Base	true
	road_permit	Rare	7	통행 허가	road_permit	true	144	Base	true
	scorch_mark	Rare	8	그을음	scorch_mark	true	145	Base	true
	verdigris	Legendary	10	녹빛	verdigris	true	146	Base	true
	coronet	Legendary	10	작은 관	coronet	true	147	Base	true
	gravebloom	Legendary	10	무덤꽃	gravebloom	true	148	Base	true
	hushbell	Legendary	10	잠잠종	hushbell	false	149	Base	true
	echoseed	Legendary	10	메아리씨	echoseed	true	150	Base	true
	ash_rose	Common	4	잿빛 장미	ash_rose	true	151	Greenhouse	true
	dusk_iris	Common	4	어스름 붓꽃	dusk_iris	true	152	Greenhouse	true
	paint_pot	Common	5	물감통	paint_pot	true	153	Greenhouse	true
	dye_vat	Common	5	염료 통	dye_vat	true	154	Greenhouse	true
	pollen_veil	Common	4	꽃가루 너울	pollen_veil	true	155	Greenhouse	true
	petal_drift	Common	5	꽃잎 흘림	petal_drift	true	156	Greenhouse	true
	glass_petal	Common	6	유리 꽃잎	glass_petal	true	157	Greenhouse	true
	ochre_brush	Common	5	황토 붓	ochre_brush	true	158	Greenhouse	true
	woad_brush	Common	5	쪽빛 붓	woad_brush	true	159	Greenhouse	true
	slate_ring	Uncommon	7	슬레이트 고리	slate_ring	true	160	Greenhouse	true
	crimson_ring	Uncommon	7	붉은 고리	crimson_ring	true	161	Greenhouse	true
	moss_ring	Uncommon	7	이끼 고리	moss_ring	true	162	Greenhouse	true
	amber_ring	Uncommon	8	호박 고리	amber_ring	true	163	Greenhouse	true
	night_veil	Uncommon	8	밤 너울	night_veil	true	164	Greenhouse	true
	dawn_veil	Uncommon	8	새벽 너울	dawn_veil	true	165	Greenhouse	true
	tinted_pane	Uncommon	6	물든 유리	tinted_pane	true	166	Greenhouse	true
	bleach_jar	Uncommon	6	탈색 항아리	bleach_jar	true	167	Greenhouse	true
	pigment_mill	Uncommon	8	안료 방앗간	pigment_mill	true	168	Greenhouse	true
	veiled_lamp	Uncommon	6	가린 등	veiled_lamp	true	169	Greenhouse	true
	coral_ring	Uncommon	7	산호 고리	coral_ring	true	170	Greenhouse	true
	black_coronet	Rare	8	검은 화관	black_coronet	true	171	Greenhouse	true
	red_coronet	Rare	9	붉은 화관	red_coronet	true	172	Greenhouse	true
	dye_press	Rare	8	염료 압착기	dye_press	true	173	Greenhouse	true
	sunfast_glaze	Rare	9	볕에 굳은 유약	sunfast_glaze	true	174	Greenhouse	true
	full_palette	Legendary	10	온 팔레트	full_palette	true	175	Greenhouse	true
	plum_stone	Common	4	자두씨	plum_stone	true	176	Greenhouse	true
	acorn_cup	Common	4	도토리 깍정이	acorn_cup	true	177	Greenhouse	true
	rose_hip	Common	4	장미 열매	rose_hip	true	178	Greenhouse	true
	hazel_shell	Common	5	개암 껍질	hazel_shell	true	179	Greenhouse	true
	bean_row	Common	5	콩 줄	bean_row	true	180	Greenhouse	true
	millet_ear	Common	4	조 이삭	millet_ear	true	181	Greenhouse	true
	sloe_berry	Common	5	야생 자두	sloe_berry	true	182	Greenhouse	true
	pip_pouch	Common	5	씨앗 주머니	pip_pouch	true	183	Greenhouse	true
	chaff_sieve	Common	4	쭉정이 체	chaff_sieve	true	184	Greenhouse	true
	quince_jar	Uncommon	7	마르멜로 항아리	quince_jar	true	185	Greenhouse	true
	king_pod	Uncommon	7	왕 꼬투리	king_pod	true	186	Greenhouse	true
	ace_husk	Uncommon	8	으뜸 껍질	ace_husk	true	187	Greenhouse	true
	seed_ledger	Uncommon	6	씨앗 대장	seed_ledger	true	188	Greenhouse	true
	bitter_pip	Uncommon	6	쓴 씨	bitter_pip	true	189	Greenhouse	true
	sweet_pip	Uncommon	6	단 씨	sweet_pip	true	190	Greenhouse	true
	walnut_press	Uncommon	7	호두 압착기	walnut_press	true	191	Greenhouse	true
	husk_lamp	Uncommon	7	껍질 등	husk_lamp	true	192	Greenhouse	true
	chestnut_burr	Uncommon	7	밤송이	chestnut_burr	true	193	Greenhouse	true
	date_stone	Uncommon	8	대추씨	date_stone	true	194	Greenhouse	true
	pomace_cask	Uncommon	6	사과 찌끼 통	pomace_cask	true	195	Greenhouse	true
	thirteen_seeds	Rare	9	열세 씨앗	thirteen_seeds	true	196	Greenhouse	true
	stone_fruit	Rare	8	씨 굳은 열매	stone_fruit	true	197	Greenhouse	true
	ripe_year	Rare	10	익은 해	ripe_year	true	198	Greenhouse	true
	regal_pair	Rare	8	왕과 으뜸	regal_pair	true	199	Greenhouse	true
	granary	Legendary	10	곳간	granary	true	200	Greenhouse	true
	wren	Common	3	굴뚝새	wren	true	201	Greenhouse	true
	dipper	Common	4	물까마귀	dipper	true	202	Greenhouse	true
	crake	Common	4	뜸부기	crake	true	203	Greenhouse	true
	plover	Common	4	물떼새	plover	true	204	Greenhouse	true
	shrike	Common	5	때까치	shrike	true	205	Greenhouse	true
	nuthatch	Common	5	동고비	nuthatch	true	206	Greenhouse	true
	flock_call	Common	5	떼 부름	flock_call	true	207	Greenhouse	true
	heron_watch	Common	5	왜가리 지킴	heron_watch	true	208	Greenhouse	true
	swift_line	Common	4	칼새 줄	swift_line	true	209	Greenhouse	true
	godwit	Uncommon	7	마도요	godwit	true	210	Greenhouse	true
	curlew	Uncommon	7	알락꼬리	curlew	true	211	Greenhouse	true
	lapwing	Uncommon	8	댕기물떼새	lapwing	true	212	Greenhouse	true
	rookery	Uncommon	7	새 둥지터	rookery	true	213	Greenhouse	true
	kestrel	Uncommon	6	황조롱이	kestrel	true	214	Greenhouse	true
	migrant_line	Uncommon	7	철새 줄	migrant_line	true	215	Greenhouse	true
	wing_beat	Uncommon	7	날갯짓	wing_beat	true	216	Greenhouse	true
	pinion_case	Uncommon	6	깃 상자	pinion_case	true	217	Greenhouse	true
	covey	Uncommon	7	메추라기 떼	covey	true	218	Greenhouse	true
	lone_gull	Uncommon	6	외로운 갈매기	lone_gull	true	219	Greenhouse	true
	great_bustard	Rare	9	느시	great_bustard	true	220	Greenhouse	true
	firecrest	Rare	8	상모솔새	firecrest	true	221	Greenhouse	true
	albatross	Rare	9	알바트로스	albatross	true	222	Greenhouse	true
	swan_song	Rare	9	백조의 노래	swan_song	true	223	Greenhouse	true
	sandpiper	Rare	8	삑삑도요	sandpiper	true	224	Greenhouse	true
	great_flock	Legendary	10	큰 무리	great_flock	true	225	Greenhouse	true
	leaf_fall	Common	4	낙엽	leaf_fall	true	226	Greenhouse	true
	compost_bin	Common	5	퇴비통	compost_bin	true	227	Greenhouse	true
	rake_head	Common	4	갈퀴	rake_head	true	228	Greenhouse	true
	dry_twine	Common	4	마른 끈	dry_twine	true	229	Greenhouse	true
	weed_fork	Common	5	잡초 갈퀴	weed_fork	true	230	Greenhouse	true
	chaff_pile	Common	5	쭉정이 더미	chaff_pile	true	231	Greenhouse	true
	hedge_snips	Common	4	산울타리 가위	hedge_snips	true	232	Greenhouse	true
	windrow	Common	5	마른 풀 줄	windrow	true	233	Greenhouse	true
	sap_pail	Common	4	수액 통	sap_pail	true	234	Greenhouse	true
	mulch_bed	Uncommon	7	뿌리덮개	mulch_bed	true	235	Greenhouse	true
	sieve_frame	Uncommon	6	체 틀	sieve_frame	true	236	Greenhouse	true
	long_shears	Uncommon	6	긴 가위	long_shears	false	237	Greenhouse	true
	thinning_hook	Uncommon	7	솎음 낫	thinning_hook	true	238	Greenhouse	true
	bramble_gate	Uncommon	7	가시 문	bramble_gate	true	239	Greenhouse	true
	full_basket	Uncommon	7	가득 찬 바구니	full_basket	true	240	Greenhouse	true
	wither_line	Uncommon	6	시든 줄	wither_line	true	241	Greenhouse	true
	dross_jar	Uncommon	7	찌끼 항아리	dross_jar	true	242	Greenhouse	true
	stubble_field	Uncommon	7	그루터기 밭	stubble_field	true	243	Greenhouse	true
	smoke_ring	Uncommon	6	연기 고리	smoke_ring	true	244	Greenhouse	true
	cut_flowers	Uncommon	8	꺾은 꽃	cut_flowers	true	245	Greenhouse	true
	scythe_moon	Rare	8	낫 같은 달	scythe_moon	true	246	Greenhouse	true
	great_compost	Rare	9	큰 퇴비	great_compost	true	247	Greenhouse	true
	bare_bed	Rare	8	맨 화단	bare_bed	true	248	Greenhouse	true
	winnow_wind	Rare	9	키질 바람	winnow_wind	true	249	Greenhouse	true
	endless_autumn	Legendary	10	끝없는 가을	endless_autumn	true	250	Greenhouse	true
	copper_scale	Common	4	구리 저울	copper_scale	true	251	Greenhouse	true
	tin_till	Common	5	양철 금고	tin_till	true	252	Greenhouse	true
	debt_slate	Common	2	빚 서판	debt_slate	true	253	Greenhouse	true
	coin_purse	Common	5	돈주머니	coin_purse	true	254	Greenhouse	true
	market_stall	Common	5	장터 좌판	market_stall	true	255	Greenhouse	true
	haggler	Common	4	값 깎는 이	haggler	false	256	Greenhouse	true
	brass_weight	Common	5	놋 분동	brass_weight	true	257	Greenhouse	true
	empty_purse	Common	4	빈 주머니	empty_purse	true	258	Greenhouse	true
	toll_gate	Common	4	통행 문	toll_gate	true	259	Greenhouse	true
	interest_book	Uncommon	7	이자 책	interest_book	false	260	Greenhouse	true
	coin_press	Uncommon	7	동전 압착기	coin_press	true	261	Greenhouse	true
	strongbox	Uncommon	7	금고	strongbox	true	262	Greenhouse	true
	gilt_ledger	Uncommon	8	금박 장부	gilt_ledger	true	263	Greenhouse	true
	usurer	Uncommon	6	돈놀이꾼	usurer	false	264	Greenhouse	true
	spent_note	Uncommon	6	쓴 어음	spent_note	true	265	Greenhouse	true
	alms_bowl	Uncommon	6	구휼 그릇	alms_bowl	true	266	Greenhouse	true
	weighbridge	Uncommon	7	계량대	weighbridge	true	267	Greenhouse	true
	broker	Uncommon	7	거래인	broker	true	268	Greenhouse	true
	sealed_chest	Uncommon	8	봉한 상자	sealed_chest	true	269	Greenhouse	true
	royal_mint	Rare	10	왕실 주조소	royal_mint	true	270	Greenhouse	true
	debt_spiral	Rare	8	빚의 나선	debt_spiral	true	271	Greenhouse	true
	tithe_barn	Rare	9	십일조 곳간	tithe_barn	true	272	Greenhouse	true
	counting_house	Rare	9	셈방	counting_house	true	273	Greenhouse	true
	iron_reserve	Rare	8	무쇠 준비금	iron_reserve	false	274	Greenhouse	true
	golden_hoard	Legendary	10	황금 무더기	golden_hoard	true	275	Greenhouse	true
	tap_root	Common	5	곧은 뿌리	tap_root	true	276	Greenhouse	true
	year_ring	Common	5	나이테	year_ring	true	277	Greenhouse	true
	runner_vine	Common	4	기는 덩굴	runner_vine	true	278	Greenhouse	true
	bud_scale	Common	4	눈 비늘	bud_scale	true	279	Greenhouse	true
	sap_rise	Common	5	수액 오름	sap_rise	true	280	Greenhouse	true
	moss_stair	Common	4	이끼 계단	moss_stair	true	281	Greenhouse	true
	bark_fold	Common	5	껍질 주름	bark_fold	true	282	Greenhouse	true
	first_leaf	Common	4	첫 잎	first_leaf	true	283	Greenhouse	true
	heartwood	Uncommon	7	심재	heartwood	true	284	Greenhouse	true
	girdle_band	Uncommon	7	두름 띠	girdle_band	true	285	Greenhouse	true
	pollard_stump	Uncommon	7	잘린 그루	pollard_stump	true	286	Greenhouse	true
	graft_union	Uncommon	8	접합부	graft_union	true	287	Greenhouse	true
	spore_cloud	Uncommon	7	홀씨 구름	spore_cloud	true	288	Greenhouse	true
	deep_root	Uncommon	8	깊은 뿌리	deep_root	true	289	Greenhouse	true
	climbing_rose	Uncommon	7	오르는 장미	climbing_rose	true	290	Greenhouse	true
	withy_band	Uncommon	6	고리버들 띠	withy_band	true	291	Greenhouse	true
	knot_wood	Uncommon	7	옹이	knot_wood	true	292	Greenhouse	true
	shade_leaf	Uncommon	6	그늘잎	shade_leaf	true	293	Greenhouse	true
	bind_weed	Uncommon	8	메꽃	bind_weed	true	294	Greenhouse	true
	old_oak	Rare	9	늙은 참나무	old_oak	true	295	Greenhouse	true
	crown_gall	Rare	8	뿌리혹	crown_gall	true	296	Greenhouse	true
	wild_stock	Rare	9	대목	wild_stock	true	297	Greenhouse	true
	standing_grove	Rare	9	선 숲	standing_grove	true	298	Greenhouse	true
	everbearing	Rare	10	사철 열림	everbearing	true	299	Greenhouse	true
	world_tree	Legendary	10	세계나무	world_tree	true	300	Greenhouse	true
	thorn_ring	Common	4	가시 고리	thorn_ring	true	301	Greenhouse	false
	nightshade_cup	Common	5	까마중 잔	nightshade_cup	true	302	Greenhouse	false
	frost_bite	Common	5	서릿발	frost_bite	true	303	Greenhouse	true
	bee_sting	Common	4	벌 침	bee_sting	true	304	Greenhouse	true
	hemlock_leaf	Common	5	독당근 잎	hemlock_leaf	true	305	Greenhouse	true
	cracked_pot	Common	4	갈라진 화분	cracked_pot	true	306	Greenhouse	true
	wasp_nest	Common	5	말벌집	wasp_nest	true	307	Greenhouse	true
	brittle_glass	Common	4	여린 유리	brittle_glass	true	308	Greenhouse	true
	bloodroot	Uncommon	7	피뿌리	bloodroot	true	309	Greenhouse	true
	viper_coil	Uncommon	8	살무사 고리	viper_coil	true	310	Greenhouse	true
	dead_wood	Uncommon	7	죽은 가지	dead_wood	true	311	Greenhouse	true
	sacrifice_bowl	Uncommon	7	제물 그릇	sacrifice_bowl	true	312	Greenhouse	true
	hollow_seed	Uncommon	6	빈 씨	hollow_seed	true	313	Greenhouse	false
	iron_thorn	Uncommon	7	무쇠 가시	iron_thorn	true	314	Greenhouse	true
	blight_spot	Uncommon	6	마름병 자리	blight_spot	true	315	Greenhouse	true
	rust_pin	Uncommon	6	녹슨 핀	rust_pin	true	316	Greenhouse	true
	snake_pit	Uncommon	8	뱀 구덩이	snake_pit	true	317	Greenhouse	true
	poison_ivy	Uncommon	7	덩굴옻나무	poison_ivy	true	318	Greenhouse	true
	crow_bait	Uncommon	6	까마귀 밥	crow_bait	true	319	Greenhouse	false
	hemlock_crown	Rare	9	독당근 화관	hemlock_crown	true	320	Greenhouse	true
	wolf_trap	Rare	9	이빨 덫	wolf_trap	true	321	Greenhouse	true
	black_frost	Rare	8	검은 서리	black_frost	true	322	Greenhouse	true
	last_stand	Rare	10	마지막 버팀	last_stand	true	323	Greenhouse	true
	martyr_stone	Rare	9	순교의 돌	martyr_stone	true	324	Greenhouse	true
	winter_king	Legendary	10	겨울의 왕	winter_king	true	325	Greenhouse	true
	wax_seal	Common	5	밀랍 인장	wax_seal	true	326	Greenhouse	true
	blue_wax	Common	5	파란 밀랍	blue_wax	true	327	Greenhouse	true
	gold_wax	Common	5	금 밀랍	gold_wax	true	328	Greenhouse	true
	purple_wax	Common	5	자주 밀랍	purple_wax	true	329	Greenhouse	true
	foil_strip	Common	4	박 띠	foil_strip	true	330	Greenhouse	true
	holo_strip	Common	4	홀로 띠	holo_strip	true	331	Greenhouse	true
	bonus_pin	Common	4	덧칩 핀	bonus_pin	true	332	Greenhouse	true
	mult_pin	Common	4	배수 핀	mult_pin	true	333	Greenhouse	true
	wild_pin	Common	5	들 카드 핀	wild_pin	true	334	Greenhouse	true
	glazier	Uncommon	7	유리장이	glazier	true	335	Greenhouse	true
	smith_tongs	Uncommon	7	대장 집게	smith_tongs	true	336	Greenhouse	true
	seal_press	Uncommon	7	인장 압착기	seal_press	true	337	Greenhouse	true
	gilder	Uncommon	8	금박장이	gilder	true	338	Greenhouse	true
	wax_tally	Uncommon	7	밀랍 셈	wax_tally	true	339	Greenhouse	true
	glass_tally	Uncommon	7	유리 셈	glass_tally	true	340	Greenhouse	true
	lucky_tally	Uncommon	7	행운 셈	lucky_tally	true	341	Greenhouse	true
	stone_setter	Uncommon	6	돌 놓는 이	stone_setter	true	342	Greenhouse	true
	edition_case	Uncommon	8	판본 상자	edition_case	false	343	Greenhouse	true
	enamel_kiln	Uncommon	8	에나멜 가마	enamel_kiln	true	344	Greenhouse	true
	sealed_deck	Uncommon	7	봉인된 덱	sealed_deck	true	345	Greenhouse	true
	master_glazier	Rare	9	유리 장인	master_glazier	true	346	Greenhouse	true
	seal_ring	Rare	9	인장 반지	seal_ring	true	347	Greenhouse	true
	foil_forge	Rare	10	박 대장간	foil_forge	true	348	Greenhouse	true
	alloy_bed	Rare	9	합금 화단	alloy_bed	true	349	Greenhouse	true
	crown_glass	Legendary	10	왕관 유리	crown_glass	true	350	Greenhouse	true
	star_dust	Common	4	별가루	star_dust	true	351	Greenhouse	true
	moon_dish	Common	5	달 접시	moon_dish	true	352	Greenhouse	true
	steam_vent	Common	5	증기 구멍	steam_vent	true	353	Greenhouse	true
	rain_gauge	Common	4	우량계	rain_gauge	true	354	Greenhouse	true
	dew_glass	Common	4	이슬 유리	dew_glass	true	355	Greenhouse	true
	comet_ash	Common	5	혜성 재	comet_ash	true	356	Greenhouse	true
	sky_lens	Common	5	하늘 렌즈	sky_lens	false	357	Greenhouse	true
	card_case	Common	4	카드 갑	card_case	false	358	Greenhouse	true
	nebula_jar	Uncommon	7	성운 항아리	nebula_jar	true	359	Greenhouse	true
	tide_pool	Uncommon	7	물웅덩이	tide_pool	true	360	Greenhouse	true
	mist_bell	Uncommon	6	안개 종	mist_bell	true	361	Greenhouse	true
	spirit_kettle	Uncommon	8	넋 주전자	spirit_kettle	true	362	Greenhouse	true
	astrolabe	Uncommon	8	아스트롤라베	astrolabe	false	363	Greenhouse	true
	arcana_case	Uncommon	7	비법 상자	arcana_case	false	364	Greenhouse	true
	planet_dial	Uncommon	7	행성 다이얼	planet_dial	true	365	Greenhouse	true
	tarot_press	Uncommon	8	타로 압착기	tarot_press	true	366	Greenhouse	true
	salt_bowl	Uncommon	6	소금 그릇	salt_bowl	true	367	Greenhouse	true
	cloud_ladder	Uncommon	7	구름 사다리	cloud_ladder	true	368	Greenhouse	true
