	rg_package_3	원석 패키지
	rg_pass_daily	월간 통행증 일일 지급
	rg_shop_00	상점 판매 항목
	rg_shop_01	상점 판매 항목
	rg_shop_02	상점 판매 항목
	rg_shop_03	상점 판매 항목
	rg_shop_04	상점 판매 항목
	rg_shop_05	상점 판매 항목
	rg_shop_06	상점 판매 항목
	rg_shop_07	상점 판매 항목
	rg_shop_08	상점 판매 항목
	rg_shop_09	상점 판매 항목
	rg_shop_10	상점 판매 항목
	rg_shop_11	상점 판매 항목
	rg_shop_season_00	시즌 상점 항목
	rg_shop_season_01	시즌 상점 항목
	rg_shop_season_02	시즌 상점 항목
	rg_shop_season_03	시즌 상점 항목
	rg_shop_season_04	시즌 상점 항목
	rg_shop_season_05	시즌 상점 항목
	rg_shop_season_06	시즌 상점 항목
	rg_shop_season_07	시즌 상점 항목
	rg_shop_package_00	패키지 상점 항목
	rg_shop_package_01	패키지 상점 항목
	rg_shop_package_02	패키지 상점 항목
	rg_shop_package_03	패키지 상점 항목
	rg_shop_package_04	패키지 상점 항목
	rg_shop_package_05	패키지 상점 항목
