:table	SkillGrowth(key="skill_id,level")	스킬 레벨별 효과와 재료이다.
:field	skill_id	level	power_factor	costs[0].currency_id	costs[0].amount	costs[1].currency_id	costs[1].amount
	flame_damage_2	2	11200	gold	2400	food	8
	flame_damage_2	3	12400	gold	5400	food	12
	flame_damage_2	4	13600	gold	9600	food	16
	flame_damage_2	5	14800	gold	15000	food	20
	flame_damage_2	6	16000	gold	21600	food	24
	flame_damage_2	7	17200	gold	29400	food	28
	flame_damage_2	8	18400	gold	38400	food	32
	flame_damage_2	9	19600	gold	48600	food	36
	flame_damage_2	10	20800	gold	60000	food	40
	flame_status_wide	1	10000	gold	600	food	4
	flame_status_wide	2	11200	gold	2400	food	8
	flame_status_wide	3	12400	gold	5400	food	12
	flame_status_wide	4	13600	gold	9600	food	16
	flame_status_wide	5	14800	gold	15000	food	20
	flame_status_wide	6	16000	gold	21600	food	24
	flame_status_wide	7	17200	gold	29400	food	28
	flame_status_wide	8	18400	gold	38400	food	32
	flame_status_wide	9	19600	gold	48600	food	36
	flame_status_wide	10	20800	gold	60000	food	40
	flame_buff_def_2	1	10000	gold	600	food	4
	flame_buff_def_2	2	11200	gold	2400	food	8
	flame_buff_def_2	3	12400	gold	5400	food	12
	flame_buff_def_2	4	13600	gold	9600	food	16
	flame_buff_def_2	5	14800	gold	15000	food	20
	flame_buff_def_2	6	16000	gold	21600	food	24
	flame_buff_def_2	7	17200	gold	29400	food	28
	flame_buff_def_2	8	18400	gold	38400	food	32
	flame_buff_def_2	9	19600	gold	48600	food	36
	flame_buff_def_2	10	20800	gold	60000	food	40
	tide_damage	1	10000	gold	600	food	4
	tide_damage	2	11200	gold	2400	food	8
	tide_damage	3	12400	gold	5400	food	12
	tide_damage	4	13600	gold	9600	food	16
	tide_damage	5	14800	gold	15000	food	20
	tide_damage	6	16000	gold	21600	food	24
	tide_damage	7	17200	gold	29400	food	28
	tide_damage	8	18400	gold	38400	food	32
	tide_damage	9	19600	gold	48600	food	36
	tide_damage	10	20800	gold	60000	food	40
	tide_damage_big	1	10000	gold	600	food	4
	tide_damage_big	2	11200	gold	2400	food	8
	tide_damage_big	3	12400	gold	5400	food	12
	tide_damage_big	4	13600	gold	9600	food	16
	tide_damage_big	5	14800	gold	15000	food	20
	tide_damage_big	6	16000	gold	21600	food	24
	tide_damage_big	7	17200	gold	29400	food	28
	tide_damage_big	8	18400	gold	38400	food	32
	tide_damage_big	9	19600	gold	48600	food	36
	tide_damage_big	10	20800	gold	60000	food	40
	tide_damage_wide	1	10000	gold	600	food	4
	tide_damage_wide	2	11200	gold	2400	food	8
	tide_damage_wide	3	12400	gold	5400	food	12
	tide_damage_wide	4	13600	gold	9600	food	16
	tide_damage_wide	5	14800	gold	15000	food	20
	tide_damage_wide	6	16000	gold	21600	food	24
	tide_damage_wide	7	17200	gold	29400	food	28
	tide_damage_wide	8	18400	gold	38400	food	32
	tide_damage_wide	9	19600	gold	48600	food	36
	tide_damage_wide	10	20800	gold	60000	food	40
	tide_buff_def	1	10000	gold	600	food	4
	tide_buff_def	2	11200	gold	2400	food	8
	tide_buff_def	3	12400	gold	5400	food	12
	tide_buff_def	4	13600	gold	9600	food	16
	tide_buff_def	5	14800	gold	15000	food	20
	tide_buff_def	6	16000	gold	21600	food	24
	tide_buff_def	7	17200	gold	29400	food	28
	tide_buff_def	8	18400	gold	38400	food	32
	tide_buff_def	9	19600	gold	48600	food	36
	tide_buff_def	10	20800	gold	60000	food	40
	tide_heal	1	10000	gold	600	food	4
	tide_heal	2	11200	gold	2400	food	8
	tide_heal	3	12400	gold	5400	food	12
	tide_heal	4	13600	gold	9600	food	16
	tide_heal	5	14800	gold	15000	food	20
	tide_heal	6	16000	gold	21600	food	24
	tide_heal	7	17200	gold	29400	food	28
	tide_heal	8	18400	gold	38400	food	32
	tide_heal	9	19600	gold	48600	food	36
	tide_heal	10	20800	gold	60000	food	40
	tide_status	1	10000	gold	600	food	4
	tide_status	2	11200	gold	2400	food	8
	tide_status	3	12400	gold	5400	food	12
	tide_status	4	13600	gold	9600	food	16
	tide_status	5	14800	gold	15000	food	20
	tide_status	6	16000	gold	21600	food	24
	tide_status	7	17200	gold	29400	food	28
	tide_status	8	18400	gold	38400	food	32
	tide_status	9	19600	gold	48600	food	36
	tide_status	10	20800	gold	60000	food	40
	tide_buff_atk	1	10000	gold	600	food	4
	tide_buff_atk	2	11200	gold	2400	food	8
	tide_buff_atk	3	12400	gold	5400	food	12
	tide_buff_atk	4	13600	gold	9600	food	16
	tide_buff_atk	5	14800	gold	15000	food	20
	tide_buff_atk	6	16000	gold	21600	food	24
	tide_buff_atk	7	17200	gold	29400	food	28
	tide_buff_atk	8	18400	gold	38400	food	32
	tide_buff_atk	9	19600	gold	48600	food	36
	tide_buff_atk	10	20800	gold	60000	food	40
	tide_damage_2	1	10000	gold	600	food	4
	tide_damage_2	2	11200	gold	2400	food	8
	tide_damage_2	3	12400	gold	5400	food	12
	tide_damage_2	4	13600	gold	9600	food	16
	tide_damage_2	5	14800	gold	15000	food	20
	tide_damage_2	6	16000	gold	21600	food	24
	tide_damage_2	7	17200	gold	29400	food	28
	tide_damage_2	8	18400	gold	38400	food	32
	tide_damage_2	9	19600	gold	48600	food	36
	tide_damage_2	10	20800	gold	60000	food	40
	tide_status_wide	1	10000	gold	600	food	4
	tide_status_wide	2	11200	gold	2400	food	8
	tide_status_wide	3	12400	gold	5400	food	12
	tide_status_wide	4	13600	gold	9600	food	16
	tide_status_wide	5	14800	gold	15000	food	20
	tide_status_wide	6	16000	gold	21600	food	24
	tide_status_wide	7	17200	gold	29400	food	28
	tide_status_wide	8	18400	gold	38400	food	32
	tide_status_wide	9	19600	gold	48600	food	36
	tide_status_wide	10	20800	gold	60000	food	40
	leaf_damage	1	10000	gold	600	food	4
	leaf_damage	2	11200	gold	2400	food	8
	leaf_damage	3	12400	gold	5400	food	12
	leaf_damage	4	13600	gold	9600	food	16
	leaf_damage	5	14800	gold	15000	food	20
	leaf_damage	6	16000	gold	21600	food	24
	leaf_damage	7	17200	gold	29400	food	28
	leaf_damage	8	18400	gold	38400	food	32
	leaf_damage	9	19600	gold	48600	food	36
	leaf_damage	10	20800	gold	60000	food	40
	leaf_damage_big	1	10000	gold	600	food	4
	leaf_damage_big	2	11200	gold	2400	food	8
	leaf_damage_big	3	12400	gold	5400	food	12
	leaf_damage_big	4	13600	gold	9600	food	16
	leaf_damage_big	5	14800	gold	15000	food	20
	leaf_damage_big	6	16000	gold	21600	food	24
	leaf_damage_big	7	17200	gold	29400	food	28
	leaf_damage_big	8	18400	gold	38400	food	32
	leaf_damage_big	9	19600	gold	48600	food	36
	leaf_damage_big	10	20800	gold	60000	food	40
	leaf_damage_wide	1	10000	gold	600	food	4
	leaf_damage_wide	2	11200	gold	2400	food	8
	leaf_damage_wide	3	12400	gold	5400	food	12
	leaf_damage_wide	4	13600	gold	9600	food	16
	leaf_damage_wide	5	14800	gold	15000	food	20
	leaf_damage_wide	6	16000	gold	21600	food	24
	leaf_damage_wide	7	17200	gold	29400	food	28
	leaf_damage_wide	8	18400	gold	38400	food	32
	leaf_damage_wide	9	19600	gold	48600	food	36
	leaf_damage_wide	10	20800	gold	60000	food	40
	leaf_buff_def	1	10000	gold	600	food	4
	leaf_buff_def	2	11200	gold	2400	food	8
	leaf_buff_def	3	12400	gold	5400	food	12
	leaf_buff_def	4	13600	gold	9600	food	16
	leaf_buff_def	5	14800	gold	15000	food	20
	leaf_buff_def	6	16000	gold	21600	food	24
	leaf_buff_def	7	17200	gold	29400	food	28
	leaf_buff_def	8	18400	gold	38400	food	32
	leaf_buff_def	9	19600	gold	48600	food	36
	leaf_buff_def	10	20800	gold	60000	food	40
	leaf_heal	1	10000	gold	600	food	4
	leaf_heal	2	11200	gold	2400	food	8
	leaf_heal	3	12400	gold	5400	food	12
	leaf_heal	4	13600	gold	9600	food	16
	leaf_heal	5	14800	gold	15000	food	20
	leaf_heal	6	16000	gold	21600	food	24
	leaf_heal	7	17200	gold	29400	food	28
	leaf_heal	8	18400	gold	38400	food	32
	leaf_heal	9	19600	gold	48600	food	36
	leaf_heal	10	20800	gold	60000	food	40
	leaf_status	1	10000	gold	600	food	4
	leaf_status	2	11200	gold	2400	food	8
	leaf_status	3	12400	gold	5400	food	12
	leaf_status	4	13600	gold	9600	food	16
	leaf_status	5	14800	gold	15000	food	20
	leaf_status	6	16000	gold	21600	food	24
	leaf_status	7	17200	gold	29400	food	28
	leaf_status	8	18400	gold	38400	food	32
	leaf_status	9	19600	gold	48600	food	36
	leaf_status	10	20800	gold	60000	food	40
	leaf_buff_atk	1	10000	gold	600	food	4
	leaf_buff_atk	2	11200	gold	2400	food	8
	leaf_buff_atk	3	12400	gold	5400	food	12
	leaf_buff_atk	4	13600	gold	9600	food	16
	leaf_buff_atk	5	14800	gold	15000	food	20
	leaf_buff_atk	6	16000	gold	21600	food	24
	leaf_buff_atk	7	17200	gold	29400	food	28
	leaf_buff_atk	8	18400	gold	38400	food	32
	leaf_buff_atk	9	19600	gold	48600	food	36
	leaf_buff_atk	10	20800	gold	60000	food	40
	leaf_damage_2	1	10000	gold	600	food	4
	leaf_damage_2	2	11200	gold	2400	food	8
	leaf_damage_2	3	12400	gold	5400	food	12
	leaf_damage_2	4	13600	gold	9600	food	16
	leaf_damage_2	5	14800	gold	15000	food	20
	leaf_damage_2	6	16000	gold	21600	food	24
	leaf_damage_2	7	17200	gold	29400	food	28
	leaf_damage_2	8	18400	gold	38400	food	32
	leaf_damage_2	9	19600	gold	48600	food	36
	leaf_damage_2	10	20800	gold	60000	food	40
	leaf_status_wide	1	10000	gold	600	food	4
	leaf_status_wide	2	11200	gold	2400	food	8
	leaf_status_wide	3	12400	gold	5400	food	12
	leaf_status_wide	4	13600	gold	9600	food	16
	leaf_status_wide	5	14800	gold	15000	food	20
	leaf_status_wide	6	16000	gold	21600	food	24
	leaf_status_wide	7	17200	gold	29400	food	28
	leaf_status_wide	8	18400	gold	38400	food	32
	leaf_status_wide	9	19600	gold	48600	food	36
	leaf_status_wide	10	20800	gold	60000	food	40
	leaf_buff_def_2	1	10000	gold	600	food	4
	leaf_buff_def_2	2	11200	gold	2400	food	8
	leaf_buff_def_2	3	12400	gold	5400	food	12
	leaf_buff_def_2	4	13600	gold	9600	food	16
	leaf_buff_def_2	5	14800	gold	15000	food	20
	leaf_buff_def_2	6	16000	gold	21600	food	24
	leaf_buff_def_2	7	17200	gold	29400	food	28
	leaf_buff_def_2	8	18400	gold	38400	food	32
	leaf_buff_def_2	9	19600	gold	48600	food	36
	leaf_buff_def_2	10	20800	gold	60000	food	40
	arc_damage	1	10000	gold	600	food	4
	arc_damage	2	11200	gold	2400	food	8
	arc_damage	3	12400	gold	5400	food	12
	arc_damage	4	13600	gold	9600	food	16
	arc_damage	5	14800	gold	15000	food	20
	arc_damage	6	16000	gold	21600	food	24
	arc_damage	7	17200	gold	29400	food	28
	arc_damage	8	18400	gold	38400	food	32
	arc_damage	9	19600	gold	48600	food	36
	arc_damage	10	20800	gold	60000	food	40
	arc_damage_big	1	10000	gold	600	food	4
	arc_damage_big	2	11200	gold	2400	food	8
	arc_damage_big	3	12400	gold	5400	food	12
	arc_damage_big	4	13600	gold	9600	food	16
	arc_damage_big	5	14800	gold	15000	food	20
	arc_damage_big	6	16000	gold	21600	food	24
	arc_damage_big	7	17200	gold	29400	food	28
	arc_damage_big	8	18400	gold	38400	food	32
	arc_damage_big	9	19600	gold	48600	food	36
	arc_damage_big	10	20800	gold	60000	food	40
	arc_damage_wide	1	10000	gold	600	food	4
	arc_damage_wide	2	11200	gold	2400	food	8
	arc_damage_wide	3	12400	gold	5400	food	12
	arc_damage_wide	4	13600	gold	9600	food	16
	arc_damage_wide	5	14800	gold	15000	food	20
	arc_damage_wide	6	16000	gold	21600	food	24
	arc_damage_wide	7	17200	gold	29400	food	28
	arc_damage_wide	8	18400	gold	38400	food	32
	arc_damage_wide	9	19600	gold	48600	food	36
	arc_damage_wide	10	20800	gold	60000	food	40
	arc_buff_def	1	10000	gold	600	food	4
	arc_buff_def	2	11200	gold	2400	food	8
	arc_buff_def	3	12400	gold	5400	food	12
	arc_buff_def	4	13600	gold	9600	food	16
	arc_buff_def	5	14800	gold	15000	food	20
	arc_buff_def	6	16000	gold	21600	food	24
	arc_buff_def	7	17200	gold	29400	food	28
	arc_buff_def	8	18400	gold	38400	food	32
	arc_buff_def	9	19600	gold	48600	food	36
	arc_buff_def	10	20800	gold	60000	food	40
	arc_heal	1	10000	gold	600	food	4
	arc_heal	2	11200	gold	2400	food	8
	arc_heal	3	12400	gold	5400	food	12
	arc_heal	4	13600	gold	9600	food	16
	arc_heal	5	14800	gold	15000	food	20
	arc_heal	6	16000	gold	21600	food	24
	arc_heal	7	17200	gold	29400	food	28
	arc_heal	8	18400	gold	38400	food	32
	arc_heal	9	19600	gold	48600	food	36
	arc_heal	10	20800	gold	60000	food	40
	arc_status	1	10000	gold	600	food	4
	arc_status	2	11200	gold	2400	food	8
	arc_status	3	12400	gold	5400	food	12
	arc_status	4	13600	gold	9600	food	16
	arc_status	5	14800	gold	15000	food	20
	arc_status	6	16000	gold	21600	food	24
	arc_status	7	17200	gold	29400	food	28
	arc_status	8	18400	gold	38400	food	32
	arc_status	9	19600	gold	48600	food	36
	arc_status	10	20800	gold	60000	food	40
	arc_buff_atk	1	10000	gold	600	food	4
	arc_buff_atk	2	11200	gold	2400	food	8
	arc_buff_atk	3	12400	gold	5400	food	12
	arc_buff_atk	4	13600	gold	9600	food	16
	arc_buff_atk	5	14800	gold	15000	food	20
	arc_buff_atk	6	16000	gold	21600	food	24
	arc_buff_atk	7	17200	gold	29400	food	28
	arc_buff_atk	8	18400	gold	38400	food	32
	arc_buff_atk	9	19600	gold	48600	food	36
	arc_buff_atk	10	20800	gold	60000	food	40
	arc_damage_2	1	10000	gold	600	food	4
	arc_damage_2	2	11200	gold	2400	food	8
	arc_damage_2	3	12400	gold	5400	food	12
	arc_damage_2	4	13600	gold	9600	food	16
	arc_damage_2	5	14800	gold	15000	food	20
	arc_damage_2	6	16000	gold	21600	food	24
	arc_damage_2	7	17200	gold	29400	food	28
	arc_damage_2	8	18400	gold	38400	food	32
	arc_damage_2	9	19600	gold	48600	food	36
	arc_damage_2	10	20800	gold	60000	food	40
	arc_status_wide	1	10000	gold	600	food	4
	arc_status_wide	2	11200	gold	2400	food	8
	arc_status_wide	3	12400	gold	5400	food	12
	arc_status_wide	4	13600	gold	9600	food	16
	arc_status_wide	5	14800	gold	15000	food	20
	arc_status_wide	6	16000	gold	21600	food	24
	arc_status_wide	7	17200	gold	29400	food	28
	arc_status_wide	8	18400	gold	38400	food	32
	arc_status_wide	9	19600	gold	48600	food	36
	arc_status_wide	10	20800	gold	60000	food	40
	umbra_damage	1	10000	gold	600	food	4
	umbra_damage	2	11200	gold	2400	food	8
	umbra_damage	3	12400	gold	5400	food	12
	umbra_damage	4	13600	gold	9600	food	16
	umbra_damage	5	14800	gold	15000	food	20
	umbra_damage	6	16000	gold	21600	food	24
	umbra_damage	7	17200	gold	29400	food	28
	umbra_damage	8	18400	gold	38400	food	32
	umbra_damage	9	19600	gold	48600	food	36
	umbra_damage	10	20800	gold	60000	food	40
	umbra_damage_big	1	10000	gold	600	food	4
	umbra_damage_big	2	11200	gold	2400	food	8
	umbra_damage_big	3	12400	gold	5400	food	12
	umbra_damage_big	4	13600	gold	9600	food	16
	umbra_damage_big	5	14800	gold	15000	food	20
	umbra_damage_big	6	16000	gold	21600	food	24
	umbra_damage_big	7	17200	gold	29400	food	28
	umbra_damage_big	8	18400	gold	38400	food	32
	umbra_damage_big	9	19600	gold	48600	food	36
	umbra_damage_big	10	20800	gold	60000	food	40
	umbra_damage_wide	1	10000	gold	600	food	4
	umbra_damage_wide	2	11200	gold	2400	food	8
	umbra_damage_wide	3	12400	gold	5400	food	12
	umbra_damage_wide	4	13600	gold	9600	food	16
	umbra_damage_wide	5	14800	gold	15000	food	20
	umbra_damage_wide	6	16000	gold	21600	food	24
	umbra_damage_wide	7	17200	gold	29400	food	28
	umbra_damage_wide	8	18400	gold	38400	food	32
	umbra_damage_wide	9	19600	gold	48600	food	36
	umbra_damage_wide	10	20800	gold	60000	food	40
	umbra_buff_def	1	10000	gold	600	food	4
	umbra_buff_def	2	11200	gold	2400	food	8
	umbra_buff_def	3	12400	gold	5400	food	12
	umbra_buff_def	4	13600	gold	9600	food	16
	umbra_buff_def	5	14800	gold	15000	food	20
	umbra_buff_def	6	16000	gold	21600	food	24
	umbra_buff_def	7	17200	gold	29400	food	28
	umbra_buff_def	8	18400	gold	38400	food	32
	umbra_buff_def	9	19600	gold	48600	food	36
	umbra_buff_def	10	20800	gold	60000	food	40
	umbra_heal	1	10000	gold	600	food	4
	umbra_heal	2	11200	gold	2400	food	8
	umbra_heal	3	12400	gold	5400	food	12
	umbra_heal	4	13600	gold	9600	food	16
	umbra_heal	5	14800	gold	15000	food	20
	umbra_heal	6	16000	gold	21600	food	24
	umbra_heal	7	17200	gold	29400	food	28
	umbra_heal	8	18400	gold	38400	food	32
	umbra_heal	9	19600	gold	48600	food	36
	umbra_heal	10	20800	gold	60000	food	40
	umbra_status	1	10000	gold	600	food	4
	umbra_status	2	11200	gold	2400	food	8
	umbra_status	3	12400	gold	5400	food	12
	umbra_status	4	13600	gold	9600	food	16
	umbra_status	5	14800	gold	15000	food	20
	umbra_status	6	16000	gold	21600	food	24
	umbra_status	7	17200	gold	29400	food	28
	umbra_status	8	18400	gold	38400	food	32
	umbra_status	9	19600	gold	48600	food	36
	umbra_status	10	20800	gold	60000	food	40
	plain_focus	1	10000	gold	600	food	4
	plain_focus	2	11200	gold	2400	food	8
	plain_focus	3	12400	gold	5400	food	12
	plain_focus	4	13600	gold	9600	food	16
	plain_focus	5	14800	gold	15000	food	20
	plain_focus	6	16000	gold	21600	food	24
	plain_focus	7	17200	gold	29400	food	28
	plain_focus	8	18400	gold	38400	food	32
	plain_focus	9	19600	gold	48600	food	36
	plain_focus	10	20800	gold	60000	food	40
	plain_guard	1	10000	gold	600	food	4
	plain_guard	2	11200	gold	2400	food	8
	plain_guard	3	12400	gold	5400	food	12
	plain_guard	4	13600	gold	9600	food	16
	plain_guard	5	14800	gold	15000	food	20
	plain_guard	6	16000	gold	21600	food	24
	plain_guard	7	17200	gold	29400	food	28
	plain_guard	8	18400	gold	38400	food	32
	plain_guard	9	19600	gold	48600	food	36
	plain_guard	10	20800	gold	60000	food	40
