:table	MonsterSkill(key="monster_id,skill_id")	단계별로 사용할 수 있는 스킬이다.
:field	monster_id	skill_id	slot_kind	unlock_stage
	ember_fox_3	flame_damage_wide	Active	3
	ember_fox_3	flame_buff_def	Active	3
	ember_fox_3	flame_heal	Active	3
	ember_fox_3	plain_guard	Passive	3
	cinder_pup_1	flame_damage	Active	1
	cinder_pup_1	flame_damage_big	Active	1
	cinder_pup_1	flame_damage_wide	Active	1
	cinder_pup_1	plain_guard	Active	1
	ash_boar_1	flame_buff_atk	Active	1
	ash_boar_1	flame_damage_2	Active	1
	ash_boar_1	flame_damage	Active	1
	ash_boar_1	plain_guard	Active	1
	ash_boar_2	flame_buff_atk	Active	2
	ash_boar_2	flame_damage_2	Active	2
	ash_boar_2	flame_damage	Active	2
	ash_boar_2	flame_damage_big	Active	2
	ash_boar_2	plain_focus	Passive	2
	flare_hawk_1	flame_damage	Active	1
	flare_hawk_1	flame_damage_big	Active	1
	flare_hawk_1	flame_damage_wide	Active	1
	flare_hawk_1	plain_guard	Active	1
	magma_crab_1	flame_buff_atk	Active	1
	magma_crab_1	flame_damage_2	Active	1
	magma_crab_1	flame_damage	Active	1
	magma_crab_1	plain_guard	Active	1
	magma_crab_2	flame_buff_atk	Active	2
	magma_crab_2	flame_damage_2	Active	2
	magma_crab_2	flame_damage	Active	2
	magma_crab_2	flame_damage_big	Active	2
	magma_crab_2	plain_focus	Passive	2
	pyre_lion_1	flame_damage	Active	1
	pyre_lion_1	flame_damage_big	Active	1
	pyre_lion_1	flame_damage_wide	Active	1
	pyre_lion_1	plain_guard	Active	1
	tide_serpent_1	tide_status	Active	1
	tide_serpent_1	tide_status_wide	Active	1
	tide_serpent_1	tide_damage	Active	1
	tide_serpent_1	plain_guard	Active	1
	tide_serpent_2	tide_status	Active	2
	tide_serpent_2	tide_status_wide	Active	2
	tide_serpent_2	tide_damage	Active	2
	tide_serpent_2	tide_damage_big	Active	2
	tide_serpent_2	plain_focus	Passive	2
	tide_serpent_3	tide_status	Active	3
	tide_serpent_3	tide_status_wide	Active	3
	tide_serpent_3	tide_damage	Active	3
	tide_serpent_3	tide_damage_big	Active	3
	tide_serpent_3	tide_damage_wide	Active	3
	tide_serpent_3	plain_guard	Passive	3
	dew_slug_1	tide_buff_def	Active	1
	dew_slug_1	tide_heal	Active	1
	dew_slug_1	tide_damage	Active	1
	dew_slug_1	plain_guard	Active	1
	reef_turtle_1	tide_buff_atk	Active	1
	reef_turtle_1	tide_damage_2	Active	1
	reef_turtle_1	tide_damage	Active	1
	reef_turtle_1	plain_guard	Active	1
	reef_turtle_2	tide_buff_atk	Active	2
	reef_turtle_2	tide_damage_2	Active	2
	reef_turtle_2	tide_damage	Active	2
	reef_turtle_2	tide_damage_big	Active	2
	reef_turtle_2	plain_focus	Passive	2
	mist_ray_1	tide_status	Active	1
	mist_ray_1	tide_status_wide	Active	1
	mist_ray_1	tide_damage	Active	1
	mist_ray_1	plain_guard	Active	1
	brine_otter_1	tide_damage	Active	1
	brine_otter_1	tide_damage_big	Active	1
	brine_otter_1	tide_damage_wide	Active	1
	brine_otter_1	plain_guard	Active	1
	brine_otter_2	tide_damage	Active	2
	brine_otter_2	tide_damage_big	Active	2
	brine_otter_2	tide_damage_wide	Active	2
	brine_otter_2	tide_buff_def	Active	2
	brine_otter_2	plain_focus	Passive	2
	abyss_whale_1	tide_buff_atk	Active	1
	abyss_whale_1	tide_damage_2	Active	1
	abyss_whale_1	tide_damage	Active	1
	abyss_whale_1	plain_guard	Active	1
	spark_mouse_1	arc_damage	Active	1
	spark_mouse_1	arc_damage_big	Active	1
	spark_mouse_1	arc_damage_wide	Active	1
	spark_mouse_1	plain_guard	Active	1
	bolt_lynx_1	arc_damage	Active	1
	bolt_lynx_1	arc_damage_big	Active	1
	bolt_lynx_1	arc_damage_wide	Active	1
	bolt_lynx_1	plain_guard	Active	1
	bolt_lynx_2	arc_damage	Active	2
	bolt_lynx_2	arc_damage_big	Active	2
	bolt_lynx_2	arc_damage_wide	Active	2
	bolt_lynx_2	arc_buff_def	Active	2
	bolt_lynx_2	plain_focus	Passive	2
	bolt_lynx_3	arc_damage	Active	3
	bolt_lynx_3	arc_damage_big	Active	3
	bolt_lynx_3	arc_damage_wide	Active	3
	bolt_lynx_3	arc_buff_def	Active	3
	bolt_lynx_3	arc_heal	Active	3
	bolt_lynx_3	plain_guard	Passive	3
	coil_snake_1	arc_status	Active	1
	coil_snake_1	arc_status_wide	Active	1
	coil_snake_1	arc_damage	Active	1
	coil_snake_1	plain_guard	Active	1
	coil_snake_2	arc_status	Active	2
	coil_snake_2	arc_status_wide	Active	2
	coil_snake_2	arc_damage	Active	2
	coil_snake_2	arc_damage_big	Active	2
	coil_snake_2	plain_focus	Passive	2
	storm_crane_1	arc_status	Active	1
	storm_crane_1	arc_status_wide	Active	1
	storm_crane_1	arc_damage	Active	1
	storm_crane_1	plain_guard	Active	1
	storm_crane_2	arc_status	Active	2
	storm_crane_2	arc_status_wide	Active	2
	storm_crane_2	arc_damage	Active	2
	storm_crane_2	arc_damage_big	Active	2
	storm_crane_2	plain_focus	Passive	2
	volt_golem_1	arc_buff_atk	Active	1
	volt_golem_1	arc_damage_2	Active	1
	volt_golem_1	arc_damage	Active	1
	volt_golem_1	plain_guard	Active	1
	thunder_stag_1	arc_damage	Active	1
	thunder_stag_1	arc_damage_big	Active	1
	thunder_stag_1	arc_damage_wide	Active	1
	thunder_stag_1	plain_guard	Active	1
	shade_bat_1	umbra_status	Active	1
	shade_bat_1	umbra_damage	Active	1
	shade_bat_1	umbra_damage_big	Active	1
	shade_bat_1	plain_guard	Active	1
	dusk_weasel_1	umbra_damage	Active	1
	dusk_weasel_1	umbra_damage_big	Active	1
	dusk_weasel_1	umbra_damage_wide	Active	1
	dusk_weasel_1	plain_guard	Active	1
	dusk_weasel_2	umbra_damage	Active	2
	dusk_weasel_2	umbra_damage_big	Active	2
	dusk_weasel_2	umbra_damage_wide	Active	2
	dusk_weasel_2	umbra_buff_def	Active	2
	dusk_weasel_2	plain_focus	Passive	2
	gloom_spider_1	umbra_status	Active	1
	gloom_spider_1	umbra_damage	Active	1
	gloom_spider_1	umbra_damage_big	Active	1
	gloom_spider_1	plain_guard	Active	1
	gloom_spider_2	umbra_status	Active	2
	gloom_spider_2	umbra_damage	Active	2
	gloom_spider_2	umbra_damage_big	Active	2
	gloom_spider_2	umbra_damage_wide	Active	2
	gloom_spider_2	plain_focus	Passive	2
	gloom_spider_3	umbra_status	Active	3
	gloom_spider_3	umbra_damage	Active	3
	gloom_spider_3	umbra_damage_big	Active	3
	gloom_spider_3	umbra_damage_wide	Active	3
	gloom_spider_3	umbra_buff_def	Active	3
	gloom_spider_3	plain_guard	Passive	3
	night_hound_1	umbra_damage	Active	1
	night_hound_1	umbra_damage_big	Active	1
	night_hound_1	umbra_damage_wide	Active	1
	night_hound_1	plain_guard	Active	1
	night_hound_2	umbra_damage	Active	2
	night_hound_2	umbra_damage_big	Active	2
	night_hound_2	umbra_damage_wide	Active	2
	night_hound_2	umbra_buff_def	Active	2
	night_hound_2	plain_focus	Passive	2
	umbra_owl_1	umbra_buff_def	Active	1
	umbra_owl_1	umbra_heal	Active	1
	umbra_owl_1	umbra_damage	Active	1
	umbra_owl_1	plain_guard	Active	1
	umbra_owl_2	umbra_buff_def	Active	2
	umbra_owl_2	umbra_heal	Active	2
	umbra_owl_2	umbra_damage	Active	2
	umbra_owl_2	umbra_damage_big	Active	2
	umbra_owl_2	plain_focus	Passive	2
	void_seraph_1	umbra_damage	Active	1
	void_seraph_1	umbra_damage_big	Active	1
	void_seraph_1	umbra_damage_wide	Active	1
	void_seraph_1	plain_guard	Active	1
	void_seraph_2	umbra_damage	Active	2
	void_seraph_2	umbra_damage_big	Active	2
	void_seraph_2	umbra_damage_wide	Active	2
	void_seraph_2	umbra_buff_def	Active	2
	void_seraph_2	plain_focus	Passive	2
	void_seraph_3	umbra_damage	Active	3
	void_seraph_3	umbra_damage_big	Active	3
	void_seraph_3	umbra_damage_wide	Active	3
	void_seraph_3	umbra_buff_def	Active	3
	void_seraph_3	umbra_heal	Active	3
	void_seraph_3	plain_guard	Passive	3
