:table	Item(key=item_id)	아이템이다.
:field	category	item_id	name	grade	icon	stack_max
	Consumable	use_food_11	먹이 꾸러미 12	Common	it_food_11	999
	Consumable	use_food_12	먹이 꾸러미 13	Common	it_food_12	999
	Consumable	use_food_13	먹이 꾸러미 14	Common	it_food_13	999
	Consumable	use_food_14	먹이 꾸러미 15	Common	it_food_14	999
	Consumable	use_food_15	먹이 꾸러미 16	Common	it_food_15	999
	Consumable	use_food_16	먹이 꾸러미 17	Rare	it_food_16	999
	Consumable	use_food_17	먹이 꾸러미 18	Rare	it_food_17	999
	Consumable	use_food_18	먹이 꾸러미 19	Rare	it_food_18	999
	Consumable	use_food_19	먹이 꾸러미 20	Rare	it_food_19	999
	Consumable	use_food_20	먹이 꾸러미 21	Rare	it_food_20	999
	Consumable	use_food_21	먹이 꾸러미 22	Rare	it_food_21	999
	Consumable	use_food_22	먹이 꾸러미 23	Rare	it_food_22	999
	Consumable	use_food_23	먹이 꾸러미 24	Rare	it_food_23	999
	Ticket	tkt_retry_00	재도전 표 1	Rare	it_ticket_00	99
	Ticket	tkt_retry_01	재도전 표 2	Rare	it_ticket_01	99
	Ticket	tkt_retry_02	재도전 표 3	Rare	it_ticket_02	99
	Ticket	tkt_retry_03	재도전 표 4	Rare	it_ticket_03	99
	Ticket	tkt_retry_04	재도전 표 5	Rare	it_ticket_04	99
	Ticket	tkt_retry_05	재도전 표 6	Rare	it_ticket_05	99
	Ticket	tkt_retry_06	재도전 표 7	Rare	it_ticket_06	99
	Ticket	tkt_retry_07	재도전 표 8	Rare	it_ticket_07	99
	Ticket	tkt_retry_08	재도전 표 9	Rare	it_ticket_08	99
	Ticket	tkt_retry_09	재도전 표 10	Rare	it_ticket_09	99
	Ticket	tkt_retry_10	재도전 표 11	Rare	it_ticket_10	99
	Ticket	tkt_retry_11	재도전 표 12	Rare	it_ticket_11	99
	Consumable	use_boost_00	탐사 촉진제 1	Rare	it_boost_00	99
	Consumable	use_boost_01	탐사 촉진제 2	Common	it_boost_01	99
	Consumable	use_boost_02	탐사 촉진제 3	Rare	it_boost_02	99
	Consumable	use_boost_03	탐사 촉진제 4	Common	it_boost_03	99
	Consumable	use_boost_04	탐사 촉진제 5	Rare	it_boost_04	99
	Consumable	use_boost_05	탐사 촉진제 6	Common	it_boost_05	99
	Consumable	use_boost_06	탐사 촉진제 7	Rare	it_boost_06	99
	Consumable	use_boost_07	탐사 촉진제 8	Common	it_boost_07	99
	Consumable	use_boost_08	탐사 촉진제 9	Rare	it_boost_08	99
	Consumable	use_boost_09	탐사 촉진제 10	Common	it_boost_09	99
	Consumable	use_boost_10	탐사 촉진제 11	Rare	it_boost_10	99
	Consumable	use_boost_11	탐사 촉진제 12	Common	it_boost_11	99
	Consumable	use_boost_12	탐사 촉진제 13	Rare	it_boost_12	99
	Consumable	use_boost_13	탐사 촉진제 14	Common	it_boost_13	99
	Consumable	use_boost_14	탐사 촉진제 15	Rare	it_boost_14	99
	Consumable	use_boost_15	탐사 촉진제 16	Common	it_boost_15	99
