:table	StringTable	번역 대조본이다.
:field	string_id	ko	en	ja
	monster.thunder_stag_1.name	우레사슴	Thunder Stag 1	우레사슴
	monster.thunder_stag_1.desc	번개 와일드링이다.	A arc wildling.	Arc のワイルドリング。
	monster.shade_bat_1.name	그림자박쥐	Shade Bat 1	그림자박쥐
	monster.shade_bat_1.desc	그늘 와일드링이다.	A umbra wildling.	Umbra のワイルドリング。
	monster.dusk_weasel_1.name	해거름족제비	Dusk Weasel 1	해거름족제비
	monster.dusk_weasel_1.desc	그늘 와일드링이다.	A umbra wildling.	Umbra のワイルドリング。
	monster.dusk_weasel_2.name	밤그늘족제비	Dusk Weasel 2	밤그늘족제비
	monster.dusk_weasel_2.desc	그늘 와일드링이다.	A umbra wildling.	Umbra のワイルドリング。
	monster.gloom_spider_1.name	그늘거미	Gloom Spider 1	그늘거미
	monster.gloom_spider_1.desc	그늘 와일드링이다.	A umbra wildling.	Umbra のワイルドリング。
	monster.gloom_spider_2.name	어스름거미	Gloom Spider 2	어스름거미
	monster.gloom_spider_2.desc	그늘 와일드링이다.	A umbra wildling.	Umbra のワイルドリング。
	monster.gloom_spider_3.name	심연거미	Gloom Spider 3	심연거미
	monster.gloom_spider_3.desc	그늘 와일드링이다.	A umbra wildling.	Umbra のワイルドリング。
	monster.night_hound_1.name	밤사냥개	Night Hound 1	밤사냥개
	monster.night_hound_1.desc	그늘 와일드링이다.	A umbra wildling.	Umbra のワイルドリング。
	monster.night_hound_2.name	흑야사냥개	Night Hound 2	흑야사냥개
	monster.night_hound_2.desc	그늘 와일드링이다.	A umbra wildling.	Umbra のワイルドリング。
	monster.umbra_owl_1.name	그늘부엉이	Umbra Owl 1	그늘부엉이
	monster.umbra_owl_1.desc	그늘 와일드링이다.	A umbra wildling.	Umbra のワイルドリング。
	monster.umbra_owl_2.name	달그늘부엉이	Umbra Owl 2	달그늘부엉이
	monster.umbra_owl_2.desc	그늘 와일드링이다.	A umbra wildling.	Umbra のワイルドリング。
	monster.void_seraph_1.name	공허날개	Void Seraph 1	공허날개
	monster.void_seraph_1.desc	그늘 와일드링이다.	A umbra wildling.	Umbra のワイルドリング。
	monster.void_seraph_2.name	무광날개	Void Seraph 2	무광날개
	monster.void_seraph_2.desc	그늘 와일드링이다.	A umbra wildling.	Umbra のワイルドリング。
	monster.void_seraph_3.name	종막날개	Void Seraph 3	종막날개
	monster.void_seraph_3.desc	그늘 와일드링이다.	A umbra wildling.	Umbra のワイルドリング。
	skill.flame_damage.name	불꽃 물기	Flame Damage	불꽃 물기
	skill.flame_damage.desc	불꽃 물기 계열이다.	A damage skill.	불꽃 물기
	skill.flame_damage_big.name	불꽃 일격	Flame Damage Big	불꽃 일격
	skill.flame_damage_big.desc	불꽃 일격 계열이다.	A damage_big skill.	불꽃 일격
	skill.flame_damage_wide.name	불꽃 파열	Flame Damage Wide	불꽃 파열
	skill.flame_damage_wide.desc	불꽃 파열 계열이다.	A damage_wide skill.	불꽃 파열
	skill.flame_buff_def.name	불꽃 장막	Flame Buff Def	불꽃 장막
	skill.flame_buff_def.desc	불꽃 장막 계열이다.	A buff_def skill.	불꽃 장막
	skill.flame_heal.name	불꽃 잇기	Flame Heal	불꽃 잇기
	skill.flame_heal.desc	불꽃 잇기 계열이다.	A heal skill.	불꽃 잇기
	skill.flame_status.name	불꽃 휘감기	Flame Status	불꽃 휘감기
	skill.flame_status.desc	불꽃 휘감기 계열이다.	A status skill.	불꽃 휘감기
	skill.flame_buff_atk.name	불꽃 포효	Flame Buff Atk	불꽃 포효
	skill.flame_buff_atk.desc	불꽃 포효 계열이다.	A buff_atk skill.	불꽃 포효
	skill.flame_damage_2.name	불꽃 가시	Flame Damage 2	불꽃 가시
	skill.flame_damage_2.desc	불꽃 가시 계열이다.	A damage skill.	불꽃 가시
	skill.flame_status_wide.name	불꽃 부름	Flame Status Wide	불꽃 부름
	skill.flame_status_wide.desc	불꽃 부름 계열이다.	A status_wide skill.	불꽃 부름
	skill.flame_buff_def_2.name	불꽃 결계	Flame Buff Def 2	불꽃 결계
	skill.flame_buff_def_2.desc	불꽃 결계 계열이다.	A buff_def skill.	불꽃 결계
	skill.tide_damage.name	물결 물기	Tide Damage	물결 물기
	skill.tide_damage.desc	물결 물기 계열이다.	A damage skill.	물결 물기
	skill.tide_damage_big.name	물결 일격	Tide Damage Big	물결 일격
	skill.tide_damage_big.desc	물결 일격 계열이다.	A damage_big skill.	물결 일격
	skill.tide_damage_wide.name	물결 파열	Tide Damage Wide	물결 파열
	skill.tide_damage_wide.desc	물결 파열 계열이다.	A damage_wide skill.	물결 파열
	skill.tide_buff_def.name	물결 장막	Tide Buff Def	물결 장막
	skill.tide_buff_def.desc	물결 장막 계열이다.	A buff_def skill.	물결 장막
	skill.tide_heal.name	물결 잇기	Tide Heal	물결 잇기
	skill.tide_heal.desc	물결 잇기 계열이다.	A heal skill.	물결 잇기
	skill.tide_status.name	물결 휘감기	Tide Status	물결 휘감기
	skill.tide_status.desc	물결 휘감기 계열이다.	A status skill.	물결 휘감기
	skill.tide_buff_atk.name	물결 포효	Tide Buff Atk	물결 포효
	skill.tide_buff_atk.desc	물결 포효 계열이다.	A buff_atk skill.	물결 포효
	skill.tide_damage_2.name	물결 가시	Tide Damage 2	물결 가시
	skill.tide_damage_2.desc	물결 가시 계열이다.	A damage skill.	물결 가시
	skill.tide_status_wide.name	물결 부름	Tide Status Wide	물결 부름
	skill.tide_status_wide.desc	물결 부름 계열이다.	A status_wide skill.	물결 부름
	skill.leaf_damage.name	잎새 물기	Leaf Damage	잎새 물기
	skill.leaf_damage.desc	잎새 물기 계열이다.	A damage skill.	잎새 물기
	skill.leaf_damage_big.name	잎새 일격	Leaf Damage Big	잎새 일격
	skill.leaf_damage_big.desc	잎새 일격 계열이다.	A damage_big skill.	잎새 일격
	skill.leaf_damage_wide.name	잎새 파열	Leaf Damage Wide	잎새 파열
	skill.leaf_damage_wide.desc	잎새 파열 계열이다.	A damage_wide skill.	잎새 파열
	skill.leaf_buff_def.name	잎새 장막	Leaf Buff Def	잎새 장막
	skill.leaf_buff_def.desc	잎새 장막 계열이다.	A buff_def skill.	잎새 장막
	skill.leaf_heal.name	잎새 잇기	Leaf Heal	잎새 잇기
	skill.leaf_heal.desc	잎새 잇기 계열이다.	A heal skill.	잎새 잇기
	skill.leaf_status.name	잎새 휘감기	Leaf Status	잎새 휘감기
	skill.leaf_status.desc	잎새 휘감기 계열이다.	A status skill.	잎새 휘감기
	skill.leaf_buff_atk.name	잎새 포효	Leaf Buff Atk	잎새 포효
	skill.leaf_buff_atk.desc	잎새 포효 계열이다.	A buff_atk skill.	잎새 포효
	skill.leaf_damage_2.name	잎새 가시	Leaf Damage 2	잎새 가시
	skill.leaf_damage_2.desc	잎새 가시 계열이다.	A damage skill.	잎새 가시
	skill.leaf_status_wide.name	잎새 부름	Leaf Status Wide	잎새 부름
	skill.leaf_status_wide.desc	잎새 부름 계열이다.	A status_wide skill.	잎새 부름
	skill.leaf_buff_def_2.name	잎새 결계	Leaf Buff Def 2	잎새 결계
	skill.leaf_buff_def_2.desc	잎새 결계 계열이다.	A buff_def skill.	잎새 결계
	skill.arc_damage.name	번개 물기	Arc Damage	번개 물기
	skill.arc_damage.desc	번개 물기 계열이다.	A damage skill.	번개 물기
	skill.arc_damage_big.name	번개 일격	Arc Damage Big	번개 일격
	skill.arc_damage_big.desc	번개 일격 계열이다.	A damage_big skill.	번개 일격
	skill.arc_damage_wide.name	번개 파열	Arc Damage Wide	번개 파열
	skill.arc_damage_wide.desc	번개 파열 계열이다.	A damage_wide skill.	번개 파열
	skill.arc_buff_def.name	번개 장막	Arc Buff Def	번개 장막
	skill.arc_buff_def.desc	번개 장막 계열이다.	A buff_def skill.	번개 장막
	skill.arc_heal.name	번개 잇기	Arc Heal	번개 잇기
	skill.arc_heal.desc	번개 잇기 계열이다.	A heal skill.	번개 잇기
	skill.arc_status.name	번개 휘감기	Arc Status	번개 휘감기
	skill.arc_status.desc	번개 휘감기 계열이다.	A status skill.	번개 휘감기
	skill.arc_buff_atk.name	번개 포효	Arc Buff Atk	번개 포효
	skill.arc_buff_atk.desc	번개 포효 계열이다.	A buff_atk skill.	번개 포효
	skill.arc_damage_2.name	번개 가시	Arc Damage 2	번개 가시
	skill.arc_damage_2.desc	번개 가시 계열이다.	A damage skill.	번개 가시
	skill.arc_status_wide.name	번개 부름	Arc Status Wide	번개 부름
	skill.arc_status_wide.desc	번개 부름 계열이다.	A status_wide skill.	번개 부름
	skill.umbra_damage.name	그늘 물기	Umbra Damage	그늘 물기
	skill.umbra_damage.desc	그늘 물기 계열이다.	A damage skill.	그늘 물기
	skill.umbra_damage_big.name	그늘 일격	Umbra Damage Big	그늘 일격
	skill.umbra_damage_big.desc	그늘 일격 계열이다.	A damage_big skill.	그늘 일격
	skill.umbra_damage_wide.name	그늘 파열	Umbra Damage Wide	그늘 파열
	skill.umbra_damage_wide.desc	그늘 파열 계열이다.	A damage_wide skill.	그늘 파열
	skill.umbra_buff_def.name	그늘 장막	Umbra Buff Def	그늘 장막
	skill.umbra_buff_def.desc	그늘 장막 계열이다.	A buff_def skill.	그늘 장막
	skill.umbra_heal.name	그늘 잇기	Umbra Heal	그늘 잇기
	skill.umbra_heal.desc	그늘 잇기 계열이다.	A heal skill.	그늘 잇기
	skill.umbra_status.name	그늘 휘감기	Umbra Status	그늘 휘감기
	skill.umbra_status.desc	그늘 휘감기 계열이다.	A status skill.	그늘 휘감기
	skill.plain_focus.name	집중	Plain Focus	집중
	skill.plain_focus.desc	집중 계열이다.	A buff_atk skill.	집중
	skill.plain_guard.name	방비	Plain Guard	방비
	skill.plain_guard.desc	방비 계열이다.	A buff_def skill.	방비
	region.weir_forest.name	여울숲	Weir Forest	여울숲
	region.salt_coast.name	소금해안	Salt Coast	소금해안
	region.ashen_crater.name	재의 화구	Ashen Crater	재의 화구
	region.frost_ridge.name	서릿능선	Frost Ridge	서릿능선
	region.sunken_temple.name	잠긴 신전	Sunken Temple	잠긴 신전
	ui.label_0000	라벨 0	Label 0	ラベル 0
	ui.label_0001	라벨 1	Label 1	ラベル 1
	ui.label_0002	라벨 2	Label 2	ラベル 2
	ui.label_0003	라벨 3	Label 3	ラベル 3
	ui.label_0004	라벨 4	Label 4	ラベル 4
	ui.label_0005	라벨 5	Label 5	ラベル 5
	ui.label_0006	라벨 6	Label 6	ラベル 6
	ui.label_0007	라벨 7	Label 7	ラベル 7
	ui.label_0008	라벨 8	Label 8	ラベル 8
	ui.label_0009	라벨 9	Label 9	ラベル 9
	ui.label_0010	라벨 10	Label 10	ラベル 10
	ui.label_0011	라벨 11	Label 11	ラベル 11
	ui.label_0012	라벨 12	Label 12	ラベル 12
	ui.label_0013	라벨 13	Label 13	ラベル 13
	ui.label_0014	라벨 14	Label 14	ラベル 14
	ui.label_0015	라벨 15	Label 15	ラベル 15
	ui.label_0016	라벨 16	Label 16	ラベル 16
	ui.label_0017	라벨 17	Label 17	ラベル 17
	ui.label_0018	라벨 18	Label 18	ラベル 18
	ui.label_0019	라벨 19	Label 19	ラベル 19
	ui.label_0020	라벨 20	Label 20	ラベル 20
	ui.label_0021	라벨 21	Label 21	ラベル 21
	ui.label_0022	라벨 22	Label 22	ラベル 22
	ui.label_0023	라벨 23	Label 23	ラベル 23
	ui.label_0024	라벨 24	Label 24	ラベル 24
	ui.label_0025	라벨 25	Label 25	ラベル 25
	ui.label_0026	라벨 26	Label 26	ラベル 26
	ui.label_0027	라벨 27	Label 27	ラベル 27
	ui.label_0028	라벨 28	Label 28	ラベル 28
	ui.label_0029	라벨 29	Label 29	ラベル 29
	ui.label_0030	라벨 30	Label 30	ラベル 30
	ui.label_0031	라벨 31	Label 31	ラベル 31
	ui.label_0032	라벨 32	Label 32	ラベル 32
	ui.label_0033	라벨 33	Label 33	ラベル 33
	ui.label_0034	라벨 34	Label 34	ラベル 34
	ui.label_0035	라벨 35	Label 35	ラベル 35
	ui.label_0036	라벨 36	Label 36	ラベル 36
	ui.label_0037	라벨 37	Label 37	ラベル 37
	ui.label_0038	라벨 38	Label 38	ラベル 38
	ui.label_0039	라벨 39	Label 39	ラベル 39
	ui.label_0040	라벨 40	Label 40	ラベル 40
	ui.label_0041	라벨 41	Label 41	ラベル 41
	ui.label_0042	라벨 42	Label 42	ラベル 42
	ui.label_0043	라벨 43	Label 43	ラベル 43
	ui.label_0044	라벨 44	Label 44	ラベル 44
	ui.label_0045	라벨 45	Label 45	ラベル 45
	ui.label_0046	라벨 46	Label 46	ラベル 46
	ui.label_0047	라벨 47	Label 47	ラベル 47
	ui.label_0048	라벨 48	Label 48	ラベル 48
	ui.label_0049	라벨 49	Label 49	ラベル 49
	ui.label_0050	라벨 50	Label 50	ラベル 50
	ui.label_0051	라벨 51	Label 51	ラベル 51
	ui.label_0052	라벨 52	Label 52	ラベル 52
	ui.label_0053	라벨 53	Label 53	ラベル 53
	ui.label_0054	라벨 54	Label 54	ラベル 54
	ui.label_0055	라벨 55	Label 55	ラベル 55
	ui.label_0056	라벨 56	Label 56	ラベル 56
	ui.label_0057	라벨 57	Label 57	ラベル 57
	ui.label_0058	라벨 58	Label 58	ラベル 58
	ui.label_0059	라벨 59	Label 59	ラベル 59
	ui.label_0060	라벨 60	Label 60	ラベル 60
	ui.label_0061	라벨 61	Label 61	ラベル 61
	ui.label_0062	라벨 62	Label 62	ラベル 62
	ui.label_0063	라벨 63	Label 63	ラベル 63
	ui.label_0064	라벨 64	Label 64	ラベル 64
	ui.label_0065	라벨 65	Label 65	ラベル 65
	ui.label_0066	라벨 66	Label 66	ラベル 66
	ui.label_0067	라벨 67	Label 67	ラベル 67
	ui.label_0068	라벨 68	Label 68	ラベル 68
	ui.label_0069	라벨 69	Label 69	ラベル 69
	ui.label_0070	라벨 70	Label 70	ラベル 70
	ui.label_0071	라벨 71	Label 71	ラベル 71
	ui.label_0072	라벨 72	Label 72	ラベル 72
	ui.label_0073	라벨 73	Label 73	ラベル 73
	ui.label_0074	라벨 74	Label 74	ラベル 74
	ui.label_0075	라벨 75	Label 75	ラベル 75
	ui.label_0076	라벨 76	Label 76	ラベル 76
	ui.label_0077	라벨 77	Label 77	ラベル 77
	ui.label_0078	라벨 78	Label 78	ラベル 78
	ui.label_0079	라벨 79	Label 79	ラベル 79
	ui.label_0080	라벨 80	Label 80	ラベル 80
	ui.label_0081	라벨 81	Label 81	ラベル 81
	ui.label_0082	라벨 82	Label 82	ラベル 82
	ui.label_0083	라벨 83	Label 83	ラベル 83
	ui.label_0084	라벨 84	Label 84	ラベル 84
	ui.label_0085	라벨 85	Label 85	ラベル 85
	ui.label_0086	라벨 86	Label 86	ラベル 86
	ui.label_0087	라벨 87	Label 87	ラベル 87
	ui.label_0088	라벨 88	Label 88	ラベル 88
	ui.label_0089	라벨 89	Label 89	ラベル 89
	ui.label_0090	라벨 90	Label 90	ラベル 90
	ui.label_0091	라벨 91	Label 91	ラベル 91
	ui.label_0092	라벨 92	Label 92	ラベル 92
	ui.label_0093	라벨 93	Label 93	ラベル 93
	ui.label_0094	라벨 94	Label 94	ラベル 94
	ui.label_0095	라벨 95	Label 95	ラベル 95
	ui.label_0096	라벨 96	Label 96	ラベル 96
	ui.label_0097	라벨 97	Label 97	ラベル 97
	ui.label_0098	라벨 98	Label 98	ラベル 98
	ui.label_0099	라벨 99	Label 99	ラベル 99
	ui.label_0100	라벨 100	Label 100	ラベル 100
	ui.label_0101	라벨 101	Label 101	ラベル 101
	ui.label_0102	라벨 102	Label 102	ラベル 102
	ui.label_0103	라벨 103	Label 103	ラベル 103
	ui.label_0104	라벨 104	Label 104	ラベル 104
	ui.label_0105	라벨 105	Label 105	ラベル 105
	ui.label_0106	라벨 106	Label 106	ラベル 106
	ui.label_0107	라벨 107	Label 107	ラベル 107
	ui.label_0108	라벨 108	Label 108	ラベル 108
	ui.label_0109	라벨 109	Label 109	ラベル 109
	ui.label_0110	라벨 110	Label 110	ラベル 110
	ui.label_0111	라벨 111	Label 111	ラベル 111
	ui.label_0112	라벨 112	Label 112	ラベル 112
	ui.label_0113	라벨 113	Label 113	ラベル 113
	ui.label_0114	라벨 114	Label 114	ラベル 114
	ui.label_0115	라벨 115	Label 115	ラベル 115
	ui.label_0116	라벨 116	Label 116	ラベル 116
	ui.label_0117	라벨 117	Label 117	ラベル 117
	ui.label_0118	라벨 118	Label 118	ラベル 118
	ui.label_0119	라벨 119	Label 119	ラベル 119
	ui.label_0120	라벨 120	Label 120	ラベル 120
	ui.label_0121	라벨 121	Label 121	ラベル 121
	ui.label_0122	라벨 122	Label 122	ラベル 122
	ui.label_0123	라벨 123	Label 123	ラベル 123
	ui.label_0124	라벨 124	Label 124	ラベル 124
	ui.label_0125	라벨 125	Label 125	ラベル 125
	ui.label_0126	라벨 126	Label 126	ラベル 126
	ui.label_0127	라벨 127	Label 127	ラベル 127
	ui.label_0128	라벨 128	Label 128	ラベル 128
	ui.label_0129	라벨 129	Label 129	ラベル 129
	ui.label_0130	라벨 130	Label 130	ラベル 130
	ui.label_0131	라벨 131	Label 131	ラベル 131
	ui.label_0132	라벨 132	Label 132	ラベル 132
	ui.label_0133	라벨 133	Label 133	ラベル 133
	ui.label_0134	라벨 134	Label 134	ラベル 134
	ui.label_0135	라벨 135	Label 135	ラベル 135
	ui.label_0136	라벨 136	Label 136	ラベル 136
	ui.label_0137	라벨 137	Label 137	ラベル 137
	ui.label_0138	라벨 138	Label 138	ラベル 138
	ui.label_0139	라벨 139	Label 139	ラベル 139
	ui.label_0140	라벨 140	Label 140	ラベル 140
	ui.label_0141	라벨 141	Label 141	ラベル 141
	ui.label_0142	라벨 142	Label 142	ラベル 142
	ui.label_0143	라벨 143	Label 143	ラベル 143
	ui.label_0144	라벨 144	Label 144	ラベル 144
	ui.label_0145	라벨 145	Label 145	ラベル 145
	ui.label_0146	라벨 146	Label 146	ラベル 146
	ui.label_0147	라벨 147	Label 147	ラベル 147
	ui.label_0148	라벨 148	Label 148	ラベル 148
	ui.label_0149	라벨 149	Label 149	ラベル 149
	ui.label_0150	라벨 150	Label 150	ラベル 150
	ui.label_0151	라벨 151	Label 151	ラベル 151
	ui.label_0152	라벨 152	Label 152	ラベル 152
	ui.label_0153	라벨 153	Label 153	ラベル 153
	ui.label_0154	라벨 154	Label 154	ラベル 154
	ui.label_0155	라벨 155	Label 155	ラベル 155
	ui.label_0156	라벨 156	Label 156	ラベル 156
	ui.label_0157	라벨 157	Label 157	ラベル 157
	ui.label_0158	라벨 158	Label 158	ラベル 158
	ui.label_0159	라벨 159	Label 159	ラベル 159
	ui.label_0160	라벨 160	Label 160	ラベル 160
	ui.label_0161	라벨 161	Label 161	ラベル 161
	ui.label_0162	라벨 162	Label 162	ラベル 162
	ui.label_0163	라벨 163	Label 163	ラベル 163
	ui.label_0164	라벨 164	Label 164	ラベル 164
	ui.label_0165	라벨 165	Label 165	ラベル 165
	ui.label_0166	라벨 166	Label 166	ラベル 166
	ui.label_0167	라벨 167	Label 167	ラベル 167
	ui.label_0168	라벨 168	Label 168	ラベル 168
	ui.label_0169	라벨 169	Label 169	ラベル 169
	ui.label_0170	라벨 170	Label 170	ラベル 170
	ui.label_0171	라벨 171	Label 171	ラベル 171
	ui.label_0172	라벨 172	Label 172	ラベル 172
	ui.label_0173	라벨 173	Label 173	ラベル 173
	ui.label_0174	라벨 174	Label 174	ラベル 174
	ui.label_0175	라벨 175	Label 175	ラベル 175
	ui.label_0176	라벨 176	Label 176	ラベル 176
	ui.label_0177	라벨 177	Label 177	ラベル 177
	ui.label_0178	라벨 178	Label 178	ラベル 178
	ui.label_0179	라벨 179	Label 179	ラベル 179
	ui.label_0180	라벨 180	Label 180	ラベル 180
	ui.label_0181	라벨 181	Label 181	ラベル 181
	ui.label_0182	라벨 182	Label 182	ラベル 182
	ui.label_0183	라벨 183	Label 183	ラベル 183
	ui.label_0184	라벨 184	Label 184	ラベル 184
	ui.label_0185	라벨 185	Label 185	ラベル 185
	ui.label_0186	라벨 186	Label 186	ラベル 186
	ui.label_0187	라벨 187	Label 187	ラベル 187
	ui.label_0188	라벨 188	Label 188	ラベル 188
	ui.label_0189	라벨 189	Label 189	ラベル 189
	ui.label_0190	라벨 190	Label 190	ラベル 190
	ui.label_0191	라벨 191	Label 191	ラベル 191
	ui.label_0192	라벨 192	Label 192	ラベル 192
	ui.label_0193	라벨 193	Label 193	ラベル 193
	ui.label_0194	라벨 194	Label 194	ラベル 194
	ui.label_0195	라벨 195	Label 195	ラベル 195
	ui.label_0196	라벨 196	Label 196	ラベル 196
	ui.label_0197	라벨 197	Label 197	ラベル 197
	ui.label_0198	라벨 198	Label 198	ラベル 198
	ui.label_0199	라벨 199	Label 199	ラベル 199
	ui.label_0200	라벨 200	Label 200	ラベル 200
