// workbook	defined name	grid	small	live
Enchant	EnchantRecipe2	Recipe	6	146
Enchant	EnchantCatalogue2	Catalogue	17	552
Enchant	EnchantCurve2	Curve	58	1950
Enchant	EnchantPerk3	Perk	6	65
Enchant	EnchantRecipe3	Recipe	897	29885
Enchant	EnchantCatalogue3	Catalogue	6	195
Socket	SocketPerk	Perk	10	325
Socket	SocketItem	Item	16	520
Socket	SocketCatalogue	Catalogue	25	845
Socket	SocketPerk2	Perk	44	1462
Socket	SocketItem2	Item	78	2600
Socket	SocketCatalogue2	Catalogue	641	21369
Socket	SocketPerk3	Perk	7	244
Socket	SocketItem3	Item	13	422
Socket	SocketCatalogue3	Catalogue	23	780
Socket	SocketPerk4	Perk	6	39
Socket	SocketItem4	Item	6	146
Cosmetic	Cosmetic	Cosmetic	587	19560
Cosmetic	CosmeticCatalogue	Catalogue	58	1950
Cosmetic	CosmeticOffer	Offer	6	65
Cosmetic	Cosmetic2	Cosmetic	6	130
Cosmetic	CosmeticCatalogue2	Catalogue	6	195
Cosmetic	CosmeticOffer2	Offer	10	325
Cosmetic	Cosmetic3	Cosmetic	16	520
Cosmetic	CosmeticCatalogue3	Catalogue	25	845
Cosmetic	CosmeticOffer3	Offer	44	1462
Cosmetic	Cosmetic4	Cosmetic	78	2600
Cosmetic	CosmeticCatalogue4	Catalogue	6	98
Dye	DyeCosmetic	Cosmetic	7	244
Dye	DyeCatalogue	Catalogue	13	422
Dye	DyeCosmetic2	Cosmetic	23	780
Dye	DyeCatalogue2	Catalogue	6	39
Dye	DyeCosmetic3	Cosmetic	6	146
Dye	DyeCatalogue3	Catalogue	17	552
Dye	DyeCosmetic4	Cosmetic	58	1950
Dye	DyeCatalogue4	Catalogue	6	65
Dye	DyeCosmetic5	Cosmetic	6	130
Dye	DyeCatalogue5	Catalogue	6	195
Dye	DyeCosmetic6	Cosmetic	10	325
Item	Item	Item	16	520
Item	ItemCatalogue	Catalogue	25	845
Item	Loot	Loot	44	1462
Item	ItemLootLine	LootLine	78	2600
Item	Item2	Item	6	98
Item	ItemCatalogue2	Catalogue	7	244
Item	ItemLoot	Loot	13	422
Item	ItemLootLine2	LootLine	23	780
Item	Item3	Item	6	39
Item	ItemCatalogue3	Catalogue	6	146
Item	ItemLoot2	Loot	17	552
ItemDrop	ItemDropLoot	Loot	58	1950
ItemDrop	ItemDropLootLine	LootLine	6	65
ItemDrop	ItemDropCatalogue	Catalogue	6	130
ItemDrop	ItemDropLoot2	Loot	6	195
ItemDrop	ItemDropLootLine2	LootLine	10	325
ItemDrop	ItemDropCatalogue2	Catalogue	16	520
ItemDrop	ItemDropLoot3	Loot	25	845
ItemDrop	ItemDropLootLine3	LootLine	44	1462
ItemDrop	ItemDropCatalogue3	Catalogue	78	2600
ItemDrop	ItemDropLoot4	Loot	6	98
ItemDrop	ItemDropLootLine4	LootLine	7	244
Currency	Currency	Currency	13	422
Currency	CurrencyCatalogue	Catalogue	23	780
Currency	CurrencyOffer	Offer	6	39
Currency	Currency2	Currency	6	146
Currency	CurrencyCatalogue2	Catalogue	17	552
Currency	CurrencyOffer2	Offer	58	1950
Currency	Currency3	Currency	6	65
Currency	CurrencyCatalogue3	Catalogue	6	130
Currency	CurrencyOffer3	Offer	6	195
Currency	Currency4	Currency	10	325
Currency	CurrencyCatalogue4	Catalogue	16	520
Craft	CraftRecipe	Recipe	25	845
Craft	CraftItem	Item	44	1462
Craft	CraftCatalogue	Catalogue	78	2600
Craft	CraftRecipe2	Recipe	6	98
Craft	CraftItem2	Item	7	244
Craft	CraftCatalogue2	Catalogue	13	422
Craft	CraftRecipe3	Recipe	23	780
Craft	CraftItem3	Item	6	39
Craft	CraftCatalogue3	Catalogue	6	146
Craft	CraftRecipe4	Recipe	17	552
Gather	GatherSpawn	Spawn	58	1950
Gather	GatherLoot	Loot	6	65
Gather	GatherCatalogue	Catalogue	6	130
Gather	GatherSpawn2	Spawn	6	195
Gather	GatherLoot2	Loot	10	325
Gather	GatherCatalogue2	Catalogue	16	520
Gather	GatherSpawn3	Spawn	25	845
Gather	GatherLoot3	Loot	44	1462
Gather	GatherCatalogue3	Catalogue	78	2600
Gather	GatherSpawn4	Spawn	6	98
Profession	ProfessionPerk	Perk	7	244
Profession	ProfessionRecipe	Recipe	13	422
Profession	ProfessionCurve	Curve	23	780
Profession	ProfessionCatalogue	Catalogue	6	39
Profession	ProfessionPerk2	Perk	6	146
Profession	ProfessionRecipe2	Recipe	17	552
Profession	ProfessionCurve2	Curve	58	1950
Profession	ProfessionCatalogue2	Catalogue	6	65
Profession	ProfessionPerk3	Perk	6	130
Profession	ProfessionRecipe3	Recipe	897	29885
Quest	Quest	Quest	10	325
Quest	QuestCatalogue	Catalogue	16	520
Quest	QuestLoot	Loot	25	845
Quest	Quest2	Quest	44	1462
Quest	QuestCatalogue2	Catalogue	78	2600
Quest	QuestLoot2	Loot	6	98
Quest	Quest3	Quest	641	21369
Quest	QuestCatalogue3	Catalogue	13	422
Quest	QuestLoot3	Loot	23	780
Quest	Quest4	Quest	6	39
QuestChain	QuestChainQuest	Quest	6	146
QuestChain	QuestChainCatalogue	Catalogue	17	552
QuestChain	QuestChainQuest2	Quest	587	19560
QuestChain	QuestChainCatalogue2	Catalogue	6	65
QuestChain	QuestChainQuest3	Quest	6	130
QuestChain	QuestChainCatalogue3	Catalogue	6	195
QuestChain	QuestChainQuest4	Quest	10	325
QuestChain	QuestChainCatalogue4	Catalogue	16	520
QuestChain	QuestChainQuest5	Quest	25	845
QuestChain	QuestChainCatalogue5	Catalogue	44	1462
Dialogue	Dialogue	Dialogue	78	2600
Dialogue	Scene	Scene	6	98
Dialogue	DialogueCatalogue	Catalogue	7	244
Dialogue	Dialogue2	Dialogue	13	422
Dialogue	DialogueScene	Scene	23	780
Dialogue	DialogueCatalogue2	Catalogue	6	39
Dialogue	Dialogue3	Dialogue	6	146
Dialogue	DialogueScene2	Scene	17	552
Dialogue	DialogueCatalogue3	Catalogue	58	1950
Dialogue	Dialogue4	Dialogue	6	65
Cutscene	CutsceneScene	Scene	6	130
Cutscene	CutsceneDialogue	Dialogue	6	195
Cutscene	CutsceneCatalogue	Catalogue	10	325
Cutscene	CutsceneScene2	Scene	16	520
Cutscene	CutsceneDialogue2	Dialogue	25	845
Cutscene	CutsceneCatalogue2	Catalogue	44	1462
Cutscene	CutsceneScene3	Scene	78	2600
Cutscene	CutsceneDialogue3	Dialogue	6	98
Cutscene	CutsceneCatalogue3	Catalogue	7	244
Cutscene	CutsceneScene4	Scene	13	422
Zone	Zone	Zone	23	780
Zone	ZoneSpawn	Spawn	6	39
Zone	ZoneCatalogue	Catalogue	6	146
Zone	Zone2	Zone	17	552
Zone	ZoneSpawn2	Spawn	58	1950
Zone	ZoneCatalogue2	Catalogue	6	65
Zone	Zone3	Zone	6	130
Zone	ZoneSpawn3	Spawn	6	195
Zone	ZoneCatalogue3	Catalogue	10	325
Zone	Zone4	Zone	16	520
Spawn	Spawn	Spawn	25	845
Spawn	SpawnProfile	Profile	44	1462
Spawn	SpawnCatalogue	Catalogue	78	2600
Spawn	Spawn2	Spawn	6	98
Spawn	SpawnProfile2	Profile	7	244
Spawn	SpawnCatalogue2	Catalogue	13	422
Spawn	Spawn3	Spawn	23	780
Spawn	SpawnProfile3	Profile	6	39
Spawn	SpawnCatalogue3	Catalogue	6	146
Spawn	Spawn4	Spawn	17	552
Instance	Instance	Instance	58	1950
Instance	InstanceLoot	Loot	6	65
Instance	InstanceCatalogue	Catalogue	6	130
Instance	Instance2	Instance	6	195
Instance	InstanceLoot2	Loot	10	325
Instance	InstanceCatalogue2	Catalogue	16	520
Instance	Instance3	Instance	25	845
Instance	InstanceLoot3	Loot	44	1462
Instance	InstanceCatalogue3	Catalogue	78	2600
Instance	Instance4	Instance	6	98
Dungeon	DungeonInstance	Instance	7	244
Dungeon	DungeonLoot	Loot	13	422
Dungeon	DungeonSpawn	Spawn	23	780
Dungeon	DungeonCatalogue	Catalogue	6	39
Dungeon	DungeonInstance2	Instance	6	146
Dungeon	DungeonLoot2	Loot	17	552
Dungeon	DungeonSpawn2	Spawn	58	1950
Dungeon	DungeonCatalogue2	Catalogue	6	65
Dungeon	DungeonInstance3	Instance	6	130
Dungeon	DungeonLoot3	Loot	6	195
Raid	RaidInstance	Instance	10	325
Raid	RaidLoot	Loot	16	520
Raid	RaidFormula	Formula	25	845
Raid	RaidCatalogue	Catalogue	44	1462
Raid	RaidInstance2	Instance	78	2600
Raid	RaidLoot2	Loot	6	98
Raid	RaidFormula2	Formula	7	244
Raid	RaidCatalogue2	Catalogue	13	422
Raid	RaidInstance3	Instance	23	780
Raid	RaidLoot3	Loot	6	39
Arena	ArenaLadder	Ladder	6	146
Arena	ArenaMatchmaking	Matchmaking	17	552
Arena	ArenaCatalogue	Catalogue	58	1950
Arena	ArenaLadder2	Ladder	6	65
Arena	ArenaMatchmaking2	Matchmaking	6	130
Arena	ArenaCatalogue2	Catalogue	6	195
Arena	ArenaLadder3	Ladder	897	29885
Arena	ArenaMatchmaking3	Matchmaking	16	520
Arena	ArenaCatalogue3	Catalogue	25	845
Arena	ArenaLadder4	Ladder	44	1462
Matchmaking	Matchmaking	Matchmaking	78	2600
Matchmaking	MatchmakingLadder	Ladder	6	98
Matchmaking	MatchmakingCatalogue	Catalogue	7	244
Matchmaking	Matchmaking2	Matchmaking	641	21369
Matchmaking	MatchmakingLadder2	Ladder	23	780
Matchmaking	MatchmakingCatalogue2	Catalogue	6	39
Matchmaking	Matchmaking3	Matchmaking	6	146
Matchmaking	MatchmakingLadder3	Ladder	17	552
Matchmaking	MatchmakingCatalogue3	Catalogue	58	1950
Matchmaking	Matchmaking4	Matchmaking	587	19560
Guild	Guild	Guild	6	130
Guild	GuildPerk	Perk	6	195
Guild	GuildCatalogue	Catalogue	10	325
Guild	Guild2	Guild	16	520
Guild	GuildPerk2	Perk	25	845
Guild	GuildCatalogue2	Catalogue	44	1462
Guild	Guild3	Guild	78	2600
Guild	GuildPerk3	Perk	6	98
Guild	GuildCatalogue3	Catalogue	7	244
Guild	Guild4	Guild	13	422
GuildPerk	GuildPerkPerk	Perk	23	780
GuildPerk	GuildPerkCurve	Curve	6	39
GuildPerk	GuildPerkCatalogue	Catalogue	6	146
GuildPerk	GuildPerkPerk2	Perk	17	552
GuildPerk	GuildPerkCurve2	Curve	58	1950
GuildPerk	GuildPerkCatalogue2	Catalogue	6	65
GuildPerk	GuildPerkPerk3	Perk	6	130
GuildPerk	GuildPerkCurve3	Curve	6	195
GuildPerk	GuildPerkCatalogue3	Catalogue	10	325
GuildPerk	GuildPerkPerk4	Perk	16	520
Housing	Housing	Housing	25	845
Housing	HousingCatalogue	Catalogue	44	1462
Housing	HousingRecipe	Recipe	78	2600
Housing	Housing2	Housing	6	98
Housing	HousingCatalogue2	Catalogue	7	244
Housing	HousingRecipe2	Recipe	13	422
Housing	Housing3	Housing	23	780
Housing	HousingCatalogue3	Catalogue	6	39
Housing	HousingRecipe3	Recipe	6	146
Housing	Housing4	Housing	17	552
Market	Market	Market	58	1950
Market	MarketItem	Item	6	65
Market	MarketCatalogue	Catalogue	6	130
Market	Market2	Market	6	195
Market	MarketItem2	Item	10	325
Market	MarketCatalogue2	Catalogue	16	520
Market	Market3	Market	25	845
Market	MarketItem3	Item	44	1462
Market	MarketCatalogue3	Catalogue	78	2600
Market	Market4	Market	6	98
Mail	Mail	Mail	7	244
Mail	MailLoot	Loot	13	422
Mail	MailCatalogue	Catalogue	23	780
Mail	Mail2	Mail	6	39
Mail	MailLoot2	Loot	6	146
Mail	MailCatalogue2	Catalogue	17	552
Mail	Mail3	Mail	58	1950
Mail	MailLoot3	Loot	6	65
Mail	MailCatalogue3	Catalogue	6	130
Mail	Mail4	Mail	6	195
Shop	ShopOffer	Offer	10	325
Shop	ShopCurrency	Currency	16	520
Shop	ShopCatalogue	Catalogue	25	845
Shop	ShopOffer2	Offer	44	1462
Shop	ShopCurrency2	Currency	78	2600
Shop	ShopCatalogue2	Catalogue	6	98
Shop	ShopOffer3	Offer	7	244
Shop	ShopCurrency3	Currency	13	422
Shop	ShopCatalogue3	Catalogue	23	780
Shop	ShopOffer4	Offer	6	39
Season	Season	Season	6	146
Season	SeasonLoot	Loot	17	552
Season	SeasonCatalogue	Catalogue	58	1950
Season	Season2	Season	6	65
Season	SeasonLoot2	Loot	6	130
Season	SeasonCatalogue2	Catalogue	6	195
Season	Season3	Season	10	325
Season	SeasonLoot3	Loot	16	520
Season	SeasonCatalogue3	Catalogue	25	845
Season	Season4	Season	44	1462
BattlePass	BattlePassSeason	Season	78	2600
BattlePass	BattlePassLoot	Loot	6	98
BattlePass	BattlePassPerk	Perk	7	244
BattlePass	BattlePassCatalogue	Catalogue	13	422
BattlePass	BattlePassSeason2	Season	23	780
BattlePass	BattlePassLoot2	Loot	6	39
BattlePass	BattlePassPerk2	Perk	6	146
BattlePass	BattlePassCatalogue2	Catalogue	17	552
BattlePass	BattlePassSeason3	Season	58	1950
BattlePass	BattlePassLoot3	Loot	6	65
Login	Login	Login	6	130
Login	LoginLoot	Loot	6	195
Login	LoginCatalogue	Catalogue	10	325
Login	Login2	Login	897	29885
Login	LoginLoot2	Loot	25	845
Login	LoginCatalogue2	Catalogue	44	1462
Login	Login3	Login	78	2600
Login	LoginLoot3	Loot	6	98
Login	LoginCatalogue3	Catalogue	7	244
Login	Login4	Login	13	422
Leaderboard	Leaderboard	Leaderboard	641	21369
Leaderboard	LeaderboardLadder	Ladder	6	39
Leaderboard	LeaderboardCatalogue	Catalogue	6	146
Leaderboard	Leaderboard2	Leaderboard	17	552
Leaderboard	LeaderboardLadder2	Ladder	58	1950
Leaderboard	LeaderboardCatalogue2	Catalogue	6	65
Leaderboard	Leaderboard3	Leaderboard	587	19560
Leaderboard	LeaderboardLadder3	Ladder	6	195
Leaderboard	LeaderboardCatalogue3	Catalogue	10	325
Leaderboard	Leaderboard4	Leaderboard	16	520
Faction	Faction	Faction	25	845
Faction	FactionRoster	Roster	44	1462
Faction	FactionCatalogue	Catalogue	78	2600
Faction	Faction2	Faction	6	98
Faction	FactionRoster2	Roster	7	244
Faction	FactionCatalogue2	Catalogue	13	422
Faction	Faction3	Faction	23	780
Faction	FactionRoster3	Roster	6	39
Faction	FactionCatalogue3	Catalogue	6	146
Faction	Faction4	Faction	17	552
System	SystemSetting	Setting	10	320
System	SystemText	Text	900	30000
System	SystemTutorial	Tutorial	6	180
System	SystemNote	Note	6	90
System	SystemMatrix	Matrix	219	219
Actor	Profile_BCGL	Profile	897	29885
Actor	ActorFormula_BCCN	Formula	16	520
Actor	ActorCurve2_BCGL	Curve	6	98
ActorGrowth	ActorGrowthStat_BCCN	Stat	6	39
ActorGrowth	ActorGrowthStat2_BCGL	Stat	6	65
ActorGrowth	ActorGrowthStat3_BCCN	Stat	16	520
Ability	AbilityCatalogue_BCGL	Catalogue	6	98
Ability	AbilityCatalogue2_BCCN	Catalogue	6	39
Ability	AbilityCatalogue3_BCGL	Catalogue	6	65
Status	Status2_BCCN	Status	16	520
Status	StatusEffect3_BCGL	Effect	6	98
Combat	CombatFormula_BCCN	Formula	6	39
Combat	CombatFormula2_BCGL	Formula	6	65
Combat	CombatFormula3_BCCN	Formula	16	520
Damage	DamageCurve_BCGL	Curve	6	98
Damage	DamageCatalogue2_BCCN	Catalogue	6	39
Damage	DamageFormula4_BCGL	Formula	6	65
Gear	GearStat_BCCN	Stat	16	520
Gear	GearStat2_BCGL	Stat	6	98
Gear	GearStat3_BCCN	Stat	6	39
GearSet	GearSetGear2_BCGL	Gear	6	65
GearSet	GearSetPerk3_BCCN	Perk	16	520
Enchant	EnchantPerk_BCGL	Perk	6	98
Enchant	EnchantPerk2_BCCN	Perk	6	39
Enchant	EnchantPerk3_BCGL	Perk	6	65
Socket	SocketItem_BCCN	Item	16	520
Socket	SocketCatalogue2_BCGL	Catalogue	641	21369
Socket	SocketPerk4_BCCN	Perk	6	39
Cosmetic	CosmeticOffer_BCGL	Offer	6	65
Cosmetic	Cosmetic3_BCCN	Cosmetic	16	520
Cosmetic	CosmeticCatalogue4_BCGL	Catalogue	6	98
Dye	DyeCatalogue2_BCCN	Catalogue	6	39
Dye	DyeCatalogue4_BCGL	Catalogue	6	65
Item	Item_BCCN	Item	16	520
Item	Item2_BCGL	Item	6	98
Item	Item3_BCCN	Item	6	39
ItemDrop	ItemDropLootLine_BCGL	LootLine	6	65
ItemDrop	ItemDropCatalogue2_BCCN	Catalogue	16	520
ItemDrop	ItemDropLoot4_BCGL	Loot	6	98
Currency	CurrencyOffer_BCCN	Offer	6	39
Currency	Currency3_BCGL	Currency	6	65
Currency	CurrencyCatalogue4_BCCN	Catalogue	16	520
Craft	CraftRecipe2_BCGL	Recipe	6	98
Craft	CraftItem3_BCCN	Item	6	39
Gather	GatherLoot_BCGL	Loot	6	65
Gather	GatherCatalogue2_BCCN	Catalogue	16	520
Gather	GatherSpawn4_BCGL	Spawn	6	98
Profession	ProfessionCatalogue_BCCN	Catalogue	6	39
Profession	ProfessionCatalogue2_BCGL	Catalogue	6	65
Quest	QuestCatalogue_BCCN	Catalogue	16	520
Quest	QuestLoot2_BCGL	Loot	6	98
Quest	Quest4_BCCN	Quest	6	39
QuestChain	QuestChainCatalogue2_BCGL	Catalogue	6	65
QuestChain	QuestChainCatalogue4_BCCN	Catalogue	16	520
Dialogue	Scene_BCGL	Scene	6	98
Dialogue	DialogueCatalogue2_BCCN	Catalogue	6	39
Dialogue	Dialogue4_BCGL	Dialogue	6	65
Cutscene	CutsceneScene2_BCCN	Scene	16	520
Cutscene	CutsceneDialogue3_BCGL	Dialogue	6	98
Zone	ZoneSpawn_BCCN	Spawn	6	39
Zone	ZoneCatalogue2_BCGL	Catalogue	6	65
Zone	Zone4_BCCN	Zone	16	520
Spawn	Spawn2_BCGL	Spawn	6	98
Spawn	SpawnProfile3_BCCN	Profile	6	39
Instance	InstanceLoot_BCGL	Loot	6	65
Instance	InstanceCatalogue2_BCCN	Catalogue	16	520
Instance	Instance4_BCGL	Instance	6	98
Dungeon	DungeonCatalogue_BCCN	Catalogue	6	39
Dungeon	DungeonCatalogue2_BCGL	Catalogue	6	65
Raid	RaidLoot_BCCN	Loot	16	520
Raid	RaidLoot2_BCGL	Loot	6	98
Raid	RaidLoot3_BCCN	Loot	6	39
Arena	ArenaLadder2_BCGL	Ladder	6	65
Arena	ArenaMatchmaking3_BCCN	Matchmaking	16	520
Matchmaking	MatchmakingLadder_BCGL	Ladder	6	98
Matchmaking	MatchmakingCatalogue2_BCCN	Catalogue	6	39
Matchmaking	Matchmaking4_BCGL	Matchmaking	587	19560
Guild	Guild2_BCCN	Guild	16	520
Guild	GuildPerk3_BCGL	Perk	6	98
GuildPerk	GuildPerkCurve_BCCN	Curve	6	39
GuildPerk	GuildPerkCatalogue2_BCGL	Catalogue	6	65
GuildPerk	GuildPerkPerk4_BCCN	Perk	16	520
Housing	Housing2_BCGL	Housing	6	98
Housing	HousingCatalogue3_BCCN	Catalogue	6	39
Market	MarketItem_BCGL	Item	6	65
Market	MarketCatalogue2_BCCN	Catalogue	16	520
Market	Market4_BCGL	Market	6	98
Mail	Mail2_BCCN	Mail	6	39
Mail	MailLoot3_BCGL	Loot	6	65
Shop	ShopCurrency_BCCN	Currency	16	520
Shop	ShopCatalogue2_BCGL	Catalogue	6	98
Shop	ShopOffer4_BCCN	Offer	6	39
Season	Season2_BCGL	Season	6	65
Season	SeasonLoot3_BCCN	Loot	16	520
BattlePass	BattlePassLoot_BCGL	Loot	6	98
Tile	TileMap00	TileMap	100	100
Tile	TileMap01	TileMap	100	100
Tile	TileMap02	TileMap	100	100
Tile	TileMap03	TileMap	100	100
Tile	TileMap04	TileMap	100	100
Tile	TileMap05	TileMap	100	100
Tile	TileMap06	TileMap	100	100
Tile	TileMap07	TileMap	100	100
Tile	TileMap08	TileMap	100	100
Tile	TileMap09	TileMap	100	100
Tile	TileMap10	TileMap	100	100
Tile	TileMap11	TileMap	100	100
Tile	TileMap12	TileMap	100	100
Tile	TileMap13	TileMap	100	100
Tile	TileMap14	TileMap	100	100
Tile	TileMap15	TileMap	100	100
Tile	TileMap16	TileMap	100	100
Tile	TileMap17	TileMap	100	100
Tile	TileMap18	TileMap	100	100
Tile	TileMap19	TileMap	100	100
Tile	TileMap20	TileMap	100	100
Tile	TileMap21	TileMap	100	100
Tile	TileMap22	TileMap	100	100
Tile	TileMap23	TileMap	100	100
Tile	TileMap24	TileMap	100	100
Tile	TileMap25	TileMap	100	100
Tile	TileMap26	TileMap	100	100
Tile	TileMap27	TileMap	100	100
Tile	TileMap28	TileMap	100	100
Tile	TileMap29	TileMap	100	100
Tile	TileMap30	TileMap	100	100
Tile	TileMap31	TileMap	100	100
Tile	TileMap32	TileMap	100	100
Tile	TileMap33	TileMap	100	100
Actor	ActorScratch	-	0	0
Gear	GearScratch	-	0	0
Item	ItemScratch	-	0	0
Quest	QuestScratch	-	0	0
Zone	ZoneScratch	-	0	0
Guild	GuildScratch	-	0	0
Shop	ShopScratch	-	0	0
Season	SeasonScratch	-	0	0
Combat	CombatScratch	-	0	0
Market	MarketScratch	-	0	0
System	SystemScratch	-	0	0
Tile	TileScratch	-	0	0
